,episode_rewards,episode_lengths
95,-195.43886267217147,20
96,-186.2589392374216,23
97,-194.87647160156166,20
98,-194.89151124719743,19
99,-194.90025604467937,22
100,-195.92291699818261,26
101,-199.5053640107245,36
102,-186.57116982768648,29
103,-195.39313747749767,23
104,-196.77283588458897,30
105,-195.89908232568123,25
106,-186.50964471245922,29
107,-196.18943751613477,24
108,-194.81659761864762,22
109,-194.74102584738657,19
110,-184.66942226979035,17
111,-194.75296195809597,19
112,-184.376949148336,15
113,-194.0154665258933,18
114,-193.26901382011116,15
115,-185.2968661815106,19
116,-194.69238509434535,19
117,-195.25376331124428,23
118,-193.74793940655545,17
119,-194.73049368588465,21
120,-194.1753383543338,18
121,-194.4562304176718,19
122,-194.78515819314694,21
123,-194.74676733946595,21
124,-186.1624961605327,23
125,-195.55528561705995,21
126,-195.03670424726616,19
127,-193.89733821920106,18
128,-194.77388574501717,19
129,-194.83933809268248,19
130,-194.7906364087594,19
131,-194.3373289661318,19
132,-194.4313364727515,19
133,-195.68611121667522,21
134,-193.9473116178438,18
135,-194.85144571633415,19
136,-194.21926327758905,19
137,-194.04035679563546,18
138,-194.4021775364681,20
139,-194.86944907760636,19
140,-194.7771229885025,20
141,-193.98304878361012,18
142,-194.7574375829385,19
143,-184.05180604103975,16
144,-194.29859988958162,19
145,-193.9367824854096,18
146,-194.91753992285058,21
147,-193.74002147497146,19
148,-194.19270375708723,19
149,-194.34643452347478,22
150,-194.88979774697953,22
151,-194.83276399346238,19
152,-195.02056550757348,20
153,-194.7980264643903,19
154,-203.7506749715013,19
155,-195.1458527248754,23
156,-194.7033551051275,19
157,-186.1019591937022,23
158,-193.68784515975352,18
159,-194.88697654333578,19
160,-194.8221415022763,19
161,-194.0861552340647,18
162,-194.98123849295217,20
163,-195.27561342690095,19
164,-194.94592644681427,19
165,-194.60176834474728,22
166,-194.56940844406947,19
167,-195.01135430172653,19
168,-193.9559971916879,18
169,-194.80579717034936,19
170,-194.84779708187372,19
171,-194.90578227889387,20
172,-194.2602731793033,21
173,-193.4574177357944,16
174,-195.47230072715226,22
175,-193.96667519863942,17
176,-194.9351389365552,20
177,-194.7950903484686,19
178,-194.0242995259663,18
179,-194.5698747212107,19
180,-194.57081821258936,19
181,-194.044395381995,18
182,-195.28748765947364,21
183,-194.70884657686324,20
184,-194.71739211109096,19
185,-185.24077559039273,21
186,-194.80954532820869,19
187,-195.4290280237241,21
188,-195.2110660409973,19
189,-193.61679514465064,17
190,-194.85278532175917,19
191,-195.00106111153525,19
192,-194.71932197008303,19
193,-194.8622340142446,19
194,-194.6500060705204,19
195,-193.91597136171652,18
196,-193.86336833817296,18
197,-194.73589398618972,19
198,-194.74556775958172,19
199,-194.80770479657613,19
200,-194.0691884552051,18
201,-195.10846328134232,21
202,-194.95935699504588,21
203,-193.41161975457683,16
204,-194.6666428306284,19
205,-193.1672272848875,16
206,-194.7983294348155,19
207,-193.8495723878398,18
208,-195.31589111855806,20
209,-195.48381733089727,22
210,-194.73523503376418,19
211,-194.89850368385305,19
212,-194.79902658666623,19
213,-194.75440203912544,19
214,-194.42569047367874,19
215,-193.5185132993777,17
216,-194.89831555476093,19
217,-194.73525626468856,19
218,-185.92124535529754,21
219,-194.8439991995387,19
220,-194.8424347070374,19
221,-194.65733686959328,19
222,-194.00274394197788,18
223,-194.8653461422676,19
224,-194.02515285055037,18
225,-195.0297190693449,19
226,-194.20723255093105,19
227,-194.3673926391085,19
228,-194.81349380962584,19
229,-194.768543206998,19
230,-194.45612989072512,19
231,-195.17794394651088,19
232,-194.6396458787746,19
233,-194.94277288228835,19
234,-193.51324462382885,16
235,-193.26308516350218,16
236,-194.88780249757494,19
237,-194.85732570782025,19
238,-186.02920980429707,21
239,-194.01919831929985,18
240,-194.46426433059617,19
241,-194.4002281230078,19
242,-193.840519074246,18
243,-193.9058147564,18
244,-194.85466081118642,19
245,-195.2507656939982,21
246,-194.7465600388742,19
247,-193.8531633269628,18
248,-194.79300320957117,19
249,-194.1797758814005,18
250,-193.93998200780334,18
251,-194.5138107840624,19
252,-194.66055366127298,19
253,-193.73510174923638,18
254,-194.41121275994513,19
255,-194.87004219594638,19
256,-193.96347871222056,18
257,-194.43748241546385,19
258,-194.6608631352591,19
259,-185.25408645597165,21
260,-194.36146454632322,19
261,-194.45141896009633,19
262,-194.36561979850345,19
263,-193.67112058986086,17
264,-195.6628832984303,21
265,-194.90230464346945,19
266,-193.73722941539546,17
267,-194.6863379485089,19
268,-194.63299358526726,19
269,-193.8883756691524,18
270,-193.7768432666898,17
271,-193.39441729180132,16
272,-193.6354853975542,17
273,-194.7760896825889,19
274,-194.90965284526754,19
275,-194.54964400367584,19
276,-193.89043130753495,18
277,-194.93613007081677,19
278,-193.4067180122852,17
279,-194.98215132689648,19
280,-195.56927501586196,21
281,-194.88540735681377,19
282,-194.90542084153861,19
283,-194.95827780238818,19
284,-195.2660786397592,19
285,-194.3500616879832,19
286,-194.77641853030275,19
287,-193.556965098853,17
288,-194.9311968289112,19
289,-193.3928063342394,16
290,-194.81785725450254,19
291,-194.50181290806825,19
292,-194.39608214202224,19
293,-193.58545209499934,17
294,-193.6533331408962,17
295,-195.2548894419482,20
296,-194.9479570087084,19
297,-185.86578150430657,22
298,-195.0708140796533,19
299,-194.85599641346423,19
300,-194.69020009063325,19
301,-195.17725893242223,20
302,-194.76733681941081,19
303,-194.78700946558698,19
304,-194.04493007410858,18
305,-194.72320098822587,19
306,-194.72260496003867,19
307,-194.8515185600937,19
308,-193.01060338180918,14
309,-184.72468444889893,17
310,-194.59683103690847,19
311,-193.59999105077824,17
312,-194.72050156788205,19
313,-194.41476900350528,19
314,-194.86096168789155,19
315,-194.8735929538346,21
316,-194.5751305353521,19
317,-195.33551969865178,19
318,-193.5499594371801,16
319,-193.7895198806603,18
320,-194.5543203814262,19
321,-195.27265543588942,21
322,-193.8815149944061,18
323,-194.39605662867166,19
324,-194.81970740095332,19
325,-194.84410129492232,19
326,-194.76906748223877,19
327,-194.12573335130702,18
328,-194.4546526535187,19
329,-195.1208402821463,19
330,-194.7883781402653,19
331,-194.95418885463155,19
332,-203.8115754840934,19
333,-195.11903164014444,20
334,-193.907012425832,18
335,-195.36793777544233,21
336,-194.06535528740946,18
337,-194.89086146597307,19
338,-195.25363373941067,19
339,-194.71111187435423,19
340,-194.59580884212423,19
341,-193.92373049444183,18
342,-194.75472594079744,19
343,-194.84751819637358,19
344,-194.8820873972267,19
345,-194.8605238592206,21
346,-194.22470544621862,18
347,-192.855770548791,14
348,-193.47918558400957,16
349,-194.86959910612836,19
350,-194.09944158027432,18
351,-186.05538005405703,22
352,-193.67205238096346,17
353,-193.72278600696637,17
354,-194.5174218652129,19
355,-194.84560105431956,19
356,-193.8337909946881,18
357,-194.39820912179104,19
358,-194.87457813745576,19
359,-194.74536629518903,19
360,-194.05584246076148,18
361,-194.65179600745515,19
362,-194.43743428341125,19
363,-194.81658401357348,19
364,-195.443136511726,19
365,-194.44188390360497,19
366,-194.14192082756415,18
367,-194.40734111568622,19
368,-194.47744533737452,19
369,-194.77884581256384,19
370,-194.9190686126519,19
371,-192.6768478779132,14
372,-194.88411821972878,19
373,-194.62368309131637,19
374,-194.98999855858213,19
375,-195.50432311191284,21
376,-194.4678285562267,19
377,-193.78928432016247,18
378,-194.878483380261,19
379,-193.722419366833,18
380,-194.83082059786892,19
381,-193.70555211923764,17
382,-194.87332976131086,19
383,-193.27722585005975,16
384,-194.70254434128742,19
385,-195.03628551531278,20
386,-203.8150088275293,19
387,-193.90246651915763,17
388,-194.7901527154033,19
389,-195.08106733116935,20
390,-194.48185167866433,19
391,-194.48813131145232,19
392,-194.8580189744196,19
393,-195.05394752222224,19
394,-194.51231577181343,19
395,-193.56104454526977,17
396,-194.04454573304463,18
397,-194.2895316813395,18
398,-194.89314201490222,19
399,-194.97763101491225,21
400,-194.78039054894597,19
401,-194.91474313508917,19
402,-195.21055562222415,20
403,-184.82461069588925,18
404,-194.1275251387421,18
405,-194.64113366768547,19
406,-194.04303793744953,18
407,-194.59973872508047,19
408,-194.5668246982124,21
409,-186.0937564198549,24
410,-196.9678569826001,28
411,-189.74785754710175,40
412,-198.49342512935786,35
413,-187.27152196439206,28
414,-181.07052319274143,45
415,-182.2315517898392,48
416,-175.9264085418959,99
417,-174.98486706936495,95
418,-177.0074868284274,68
419,-188.66072276649328,36
420,-175.46420400851065,71
421,-156.40243684273537,113
422,-178.26808900431067,66
423,-196.62364601468383,30
424,-196.97417816835028,30
425,-188.20792197345398,33
426,-186.0679245482613,26
427,-195.5774737758705,22
428,-195.9392364327403,24
429,-195.97495949843912,24
430,-194.16264769761443,19
431,-194.23842876364057,19
432,-194.68019871525308,19
433,-193.9739219010919,18
434,-195.5399602559995,22
435,-195.7541730115735,22
436,-195.1570569259787,20
437,-194.000456672054,19
438,-194.5416804229918,19
439,-195.3277450507286,21
440,-195.1116838911504,19
441,-195.22302886138186,20
442,-193.75701663892656,18
443,-194.3475831979154,18
444,-185.31880052792417,21
445,-194.66698757576975,19
446,-194.84703503861957,21
447,-185.19164758401075,20
448,-195.24311813734,20
449,-194.4656103265626,19
450,-184.81472158443407,17
451,-194.1756519933658,19
452,-195.48085099473442,21
453,-195.5414745962426,23
454,-195.42647946307142,24
455,-195.66126869778267,22
456,-178.53049025648477,34
457,-196.26037419792274,27
458,-195.00587541078505,21
459,-195.55972852844184,23
460,-195.024074152639,22
461,-186.74265177355235,25
462,-197.13497882882663,25
463,-185.5529422393657,20
464,-195.27403789050445,20
465,-195.19944570680275,21
466,-185.63106922302032,21
467,-194.5979919557886,22
468,-196.6952188121262,25
469,-197.917314709138,30
470,-195.8246204117329,25
471,-195.05069933800996,22
472,-195.39227670423764,21
473,-186.133720057203,24
474,-195.35502697222782,22
475,-186.08872206974397,22
476,-195.15544960128003,22
477,-195.31604484366142,23
478,-194.6571189291421,20
479,-194.55530623706935,23
480,-187.0784765234691,25
481,-179.9644739560453,42
482,-188.06127147959074,28
483,-187.27570422162393,29
484,-197.42390511566333,33
485,-165.44423011535764,107
486,-164.75276333806312,98
487,-181.13595209989336,50
488,-193.83491188319113,48
489,-176.73440512823095,57
490,-171.33514254881396,91
491,-151.26647747414194,80
492,-168.01990296804678,78
493,-146.03144635845197,152
494,-181.21193712642372,45
495,-156.58952116250853,58
496,-195.21748963536,23
497,-195.9127849020342,26
498,-195.17280736286276,23
499,-187.0561993091846,25
500,-189.09318144787167,39
501,-174.10030938415662,50
502,-173.076264806345,56
503,-180.63936390923328,48
504,-196.09539219184046,23
505,-186.14893232677952,26
506,-187.71447105148573,33
507,-175.4233660434042,54
508,-191.453937291414,40
509,-182.00904849758712,50
510,-182.98036217496002,51
511,-174.78602291392494,75
512,-187.37543299617508,28
513,-186.79151049741938,26
514,-188.09124802888616,38
515,-197.39739309781294,30
516,-177.25141606051284,25
517,-196.15440496542251,26
518,-161.43773937312733,51
519,-191.26615969548746,42
520,-195.22888409575472,22
521,-195.86948296479298,24
522,-187.84031414704663,32
523,-195.09423368249998,23
524,-195.15218011771046,21
525,-186.221367323484,23
526,-168.89010721484252,32
527,-195.27083171021727,22
528,-195.56777849257566,23
529,-195.6003450503147,21
530,-195.05484583489147,20
531,-195.4060902594222,20
532,-195.52056076994518,24
533,-195.24187104641678,24
534,-196.45630972128413,26
535,-195.46524356139963,25
536,-188.7051184370511,32
537,-190.13302624847196,43
538,-187.11850114212518,35
539,-193.84590258456606,20
540,-196.3730113123625,24
541,-196.3026786425235,25
542,-187.61066100166053,32
543,-188.86618966920113,35
544,-188.17122788610567,36
545,-187.21642987702867,30
546,-196.9456494123218,24
547,-195.20613710805458,21
548,-188.57663267761865,34
549,-188.10339230053512,30
550,-197.09116255016087,26
551,-196.25295303352186,26
552,-196.73331909611727,28
553,-195.94999746056575,27
554,-186.90782346560368,27
555,-190.45894864062262,42
556,-182.1911113488202,45
557,-177.82909945633017,67
558,-186.51713388294584,56
559,-181.24690892702634,50
560,-183.68911711484049,49
561,-184.21376288615778,48
562,-171.59339670503758,78
563,-165.9953593564951,69
564,-156.2956151875261,102
565,-121.52341576128933,132
566,-182.89898810760806,84
567,-197.4332348495478,65
568,-173.72419358755945,90
569,-181.60731478581167,79
570,-95.61447238697177,297
571,-159.2884810906247,184
572,-175.1085063707423,96
573,-69.5855024182608,325
574,-183.8989924285492,50
575,-173.693145445053,96
576,-172.13349351954022,50
577,-163.66148701194052,90
578,-171.5575543656231,72
579,-173.82888677136162,51
580,-149.62794979899977,131
581,-45.5000982195902,293
582,-181.029000309642,70
583,-180.641259985137,79
584,-166.74949017545245,113
585,-149.82156461099277,132
586,-172.22825701942702,89
587,-134.78813498719433,139
588,-182.5181141835105,56
589,-181.11345917313832,40
590,-179.16082783412082,56
591,-173.50495996635854,90
592,-153.9351708322862,96
593,-161.2158045365234,189
594,-165.5533388498027,104
595,-130.87895588331116,139
596,-171.72189104062306,80
597,-128.79068200707502,194
598,-170.67155928002802,70
599,-149.97946472989838,242
600,-147.47861400007366,172
601,-115.97180245338407,163
602,-164.939126735012,98
603,-148.11404020129558,83
604,-140.90652298390967,138
605,-174.8634799445041,95
606,-116.82523291668211,184
607,-148.44050239802124,182
608,-154.6297835210379,100
609,-162.97553003646087,90
610,-173.12407650104515,81
611,-178.65067437142076,65
612,-179.17904001800702,64
613,-184.14520978818513,19
614,-160.80821180875245,70
615,-159.07101616400857,119
616,-179.29145043569994,75
617,-171.92600575582284,83
618,-184.49402354017,24
619,-167.3530335883296,111
620,-179.21391920700344,64
621,-166.27740854933413,109
622,-173.50757218171788,86
623,-163.1004760090638,147
624,-183.7279745584156,90
625,-166.74194025644408,108
626,-131.59730699856857,179
627,-191.3797775179365,37
628,-145.2640451709856,111
629,-171.3702602361096,76
630,-183.05232582571233,75
631,-194.0505646201422,45
632,-166.75506054941485,49
633,-170.1719350043495,121
