episode,avg_reward,avg_ey,avg_ephi,avg_v,episode_time,distance_traveled
1,0.43189639640394595,-0.23384669890277118,-0.10078066282391682,0.6703803156445932,0.010619401931762695,16.11517263617852
2,0.5379068868928328,-0.8050707856128105,-0.15924209715659451,0.5852573547031935,0.0125579833984375,17.284063511863337
3,0.6457689545065697,-0.45297692099057546,-0.16959500226495022,0.64889270360313,0.013479948043823242,10.473169118402822
4,0.24276727069773985,-0.4396570413291067,-0.1803498250493622,0.6353835806562134,0.007004499435424805,9.810681756865897
5,0.2472296370208817,-0.30877221859999354,-0.17239233786790864,0.426178962205093,0.006006479263305664,6.657199906729519
6,0.2435514446114158,-0.31733363551055366,-0.17587205318784946,0.45465407648626943,0.00596308708190918,6.5472312085174735
7,0.2725191076298498,-0.4531623872516558,-0.1768465462760133,0.6333342301523504,0.00688481330871582,9.505314843657125
8,0.2748763191201391,-0.4869535576491247,-0.162881006998791,0.7196479822811876,0.01033473014831543,10.564108172091505
9,0.27540755150869944,-0.3200609690731245,-0.1699083492038035,0.5430476806712939,0.007937192916870117,7.4776218884026
10,0.2804804822143313,-0.26858033318362423,-0.17601286512162026,0.4107845223025072,0.012074947357177734,5.806296225547117
11,0.27737622971028497,-0.2846870773083276,-0.1765850818673406,0.4503428632265634,0.005299568176269531,6.320955933397378
12,0.2657238345880792,-0.4533422504408483,-0.17883531477173695,0.6288877769967718,0.005671262741088867,9.292004512743336
13,0.2570429890330976,-0.4142455060809561,-0.19077677941979226,0.5707328571146494,0.0056552886962890625,8.552246165252393
14,0.27919171382372876,-0.38294059708326816,-0.14999671765066455,0.5796127182437049,0.006040811538696289,7.81349077487434
15,0.3785231732277624,-0.23330447776664082,-0.15304500496960372,0.5191065042901498,0.013188362121582031,6.202742111673523
16,0.2494498531526719,-0.4680588069007707,-0.1660181236904418,0.5737768987140713,0.007062435150146484,9.045065773281816
17,0.319944820554441,-0.34695212624871236,-0.1420423240358182,0.626653682731768,0.007311820983886719,8.404220750569321
18,0.3142951191302088,-0.369569647651551,-0.1623140198386653,0.6716699291815087,0.005720615386962891,8.86487805625015
19,0.2692966963186408,-0.3946961316582491,-0.17365677688976144,0.6239995079716447,0.0052678585052490234,8.563321582243226
20,0.268044140799265,-0.4217110872480605,-0.17665816225117206,0.5547283470410108,0.005142688751220703,8.286729552650112
21,0.2738536417005227,-0.4695464314359392,-0.16693882493660234,0.7480325835977489,0.010657787322998047,10.356050019353477
