,episode_rewards,episode_lengths
0,799.8832935669413,1389
1,2006.472340712839,3954
2,1463.6099202943724,3376
3,363.1938185099689,1733
4,25.72878121242414,497
5,-110.1002172111889,205
6,4881.463021165297,11406
7,3142.584551917324,7650
8,831.6488982666954,3417
9,285.059003992165,1386
10,637.7051895060796,1762
11,516.621146545277,1815
12,1651.2252304430092,4354
13,1.150388208769499,350
14,435.9154229877506,1646
15,695.8476850756562,1933
16,4.792168794749728,346
17,1747.5028321444968,6602
18,-166.82537466355305,86
19,-24.094498731145165,280
20,-21.912315081233515,380
21,356.2655098109984,2112
22,512.7097905025134,1408
23,-120.2548517231857,246
24,3543.6690178662357,8309
25,4.377904040283738,373
26,-177.7423643505951,33
27,4625.1877066669595,15025
28,1002.2289463878749,2480
29,1704.3091312424838,4296
30,2496.4501777771034,5571
31,1275.303011936256,3987
32,928.2332591920597,3462
33,-28.64319877018309,399
34,111.01700013937057,844
35,2643.9280019374232,6825
36,1089.6888140670019,3554
37,409.5922269018821,2050
38,1924.6721916829051,5343
39,7539.739821976625,15840
40,35.55631709313266,540
41,448.47607817561925,2508
42,730.8041393072656,1760
43,1599.9675999181218,5594
44,63.40953805193027,467
45,1083.8231351998384,2789
46,2839.31667185087,6978
47,1831.7334393773558,3510
48,4840.506259061909,12855
49,3456.836449321811,9259
50,4116.104756229598,7914
