,episode_rewards,episode_lengths
0,-170.37044769257483,69
1,-183.6329738516468,80
2,-178.60715461709228,60
3,-150.11998151319312,135
4,-182.0259455930913,71
5,-165.26096806370282,98
6,-163.55757249071254,86
7,-182.5300398864134,81
8,-164.91522305748995,99
9,-190.34938196692232,69
10,-171.7377530029202,131
11,-179.05085526199827,64
12,-132.7392066933295,174
13,-166.24827961094866,99
14,-117.1176469408752,329
15,-168.77355742179918,120
16,-167.51940134781694,108
17,-178.3170893079524,65
18,-169.95986112972514,64
19,-55.98970344972952,348
20,-171.19351030526065,81
21,-182.9512350737547,80
22,-65.6811662670589,281
23,-174.57823886000395,93
24,-172.35979647896266,48
25,-181.52505356768293,78
26,-159.24497116035334,130
27,-165.29321521168643,97
28,-50.54334330626841,314
29,-186.19783050799558,62
30,-173.25689258873825,90
31,-168.9914234099907,59
32,-164.02565315898076,88
33,-169.55973783239847,71
34,-117.9075264563741,269
35,-178.67744708367502,64
36,-182.30057038968533,57
37,-185.722955195589,72
38,-181.73608737054354,49
39,-160.55645949518032,69
40,-160.8859313734901,79
41,-155.56090608049286,103
42,-171.99515837034744,77
43,-164.11480456377674,200
44,-165.1211984658628,101
45,-169.5924367032716,69
46,-135.11798181234417,204
47,-165.38580420885734,102
48,-171.81311623319462,82
49,-171.11095763892465,76
50,-165.9589583318452,67
51,-184.26316347127604,79
52,-172.18619113360018,283
53,-148.64427195716064,178
54,-164.09931534936766,88
55,-169.96396811473136,64
56,-69.68279633417654,242
57,-164.3020188186569,86
58,-177.02977621753735,105
59,-153.5900310491095,151
60,-169.3959605011005,64
61,-175.08938630330636,101
62,-164.80719055690764,97
63,-163.92399653095288,50
64,-142.6525491187707,200
65,-172.3487567964134,83
66,11.838891107072556,445
67,-169.54639060651732,61
68,-162.15810625786207,86
69,-121.87560831411471,254
70,-175.41848369851078,91
71,-138.58308529747376,123
72,-184.36252721211426,61
73,-124.82682740078546,219
74,-160.1496295321375,131
75,-151.76863570733224,143
76,-141.16869285040912,139
77,-180.96881177031383,68
78,-82.97648740919476,383
79,-170.1600731945991,66
80,-125.53627140795564,173
81,-115.32501054098556,336
82,-154.31643215570182,153
83,-161.9793833028868,86
84,-103.82922002217144,346
85,-170.3261406281651,76
86,-160.61515212230077,63
87,-152.68384642929513,84
88,-164.43480120566136,102
89,-127.41603368746205,180
90,-174.30221729060742,52
91,-184.3272563504024,123
92,-157.3619936604356,109
93,-154.6879138866012,97
94,-132.22540225664085,139
95,-161.25913749979995,80
96,-134.5145522415782,158
97,-156.02121233244793,104
98,-162.91601660500254,86
99,-147.65799806969272,173
100,-172.0581496950908,81
101,-189.13120220316668,108
102,-181.94315165168058,78
103,-105.18544429420803,413
104,-191.70700874323543,70
105,-186.03646527654755,31
106,-167.5538633405697,110
107,-55.575417426171896,295
108,-173.07443864286256,51
109,-161.63190115933443,81
110,-181.6028294311599,73
111,-176.18453292318483,55
112,-13.582067858301002,484
113,-93.42979350233398,231
114,-137.84146577412258,161
115,-159.04265135218898,125
116,-176.1306000084131,74
117,-169.85523384168582,67
118,-131.1987819131237,236
119,-162.02784614308905,93
120,-180.74024967538702,42
121,-158.8900073865684,121
122,-156.83082138016036,165
123,-129.9818724263535,261
