episode,avg_reward,avg_v,episode_time,distance_traveled
124,-14.27394065016728,2.7930636,14.499,1.5583419428998047e-13
125,-25.261462032199173,0.9817885,14.576,1.2710575051245315e-13
126,-8.554211172398904,3.2244887,14.724,2.2737367544323206e-13
127,-35.68125482261138,1.0480953,14.825,1.1718570721002547e-13
128,-5.24585516253525,4.2804227,14.884,1.1368683772161603e-13
129,-14.421486265546383,2.0532422,14.938,1.607774650176294e-13
130,-5.070594007395876,4.581145,15.066,1.2710575051245315e-13
131,-30.525913914941096,2.1795747,15.108,1.2710575051245315e-13
132,-4.872919325479906,1.5849674,15.16,1.4210854715202004e-14
133,-4.400724107460549,2.0108466,15.351,1.3796244962421822e-13
134,-12.09864675086901,2.9515772,15.393,1.607774650176294e-13
135,-43.98281304582336,0.86203396,15.487,1.8198773922301764e-13
136,-23.018789810449874,1.7167166,15.54,4.679525375366211
137,-19.397504307269948,1.8328085,15.681,1.607774650176294e-13
138,-22.311084428500305,3.2408345,15.772,4.888806343078613
139,-30.11868959749325,1.10225,15.848,3.126388037344441e-13
140,-11.819775654064909,3.518586,16.071,1.1457157379941851e-13
141,-37.04423086911109,1.5401531,16.117,3.2855780124664307
142,-10.214071033265354,1.2588693,16.2,2.8421709430404007e-13
143,-33.21608994197513,1.172434,16.261,1.607774650176294e-13
144,-12.523801825984494,1.7369648,16.412,1.5106346078555544e-13
145,-4.189025730573584,5.0938015,16.646,3.197442310920451e-14
146,-7.236891318346593,2.716701,16.7,6.008535385131836
147,-16.125775936751342,1.249336,16.784,4.342591762542725
148,-31.27032207418043,1.5820191,16.926,4.82213830947876
149,0.42929283161117876,2.0256279,16.99,2.2737367544323206e-13
150,-13.934999863126118,2.252831,17.048,6.252626895904541
151,-5.891028328884777,3.5459402,17.171,7.480780601501465
152,-20.19503923427576,2.9662259,17.237,2.3821732347134583e-13
153,-4.144830612932953,2.2756672,17.317,2.3133594649268896e-13
154,-49.41866024857233,1.4808784,17.448,1.4210854715202004e-13
155,-28.858828526557044,0.9563042,17.539,8.786518096923828
156,-15.708024511250445,4.464265,17.61,177.33856201171875
157,-12.496040343064118,3.2602506,17.682,2.842170943040401e-14
158,-12.343696849870119,1.7713577,17.862,5.487088680267334
159,-11.912880409382414,2.6298132,17.903,4.626718929853779e-13
160,-31.076887549980075,1.5088784,17.96,5.355045795440674
161,-8.035789474760334,1.9792676,18.102,6.454957485198975
