episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,1.2203762445807231,4.9555087,1.348,1.311811,13.513408344229648,26.824639603673457,"[-8.79840106e-02  1.53597651e+01  2.05705681e+01  4.24664536e+01
  1.08902176e+02  1.16711617e+02  9.53361893e+01  5.27941284e+01
  3.58891792e+01]",78.13532487797804
2,0.5781558324379198,4.2064786,1.484,2.874085,22.246293649151603,17.85992835163613,"[ 0.17089932 29.423471   44.78556    75.18411    75.12093    77.16984
 76.06046    36.249504   21.817522  ]",18.756237858959935
3,0.20165426572138345,3.8432739,1.579,-8.099366,18.765304058450607,21.38538797163953,"[ 0.32048348 22.220085   27.732634   55.262344   70.3032     82.508766
 84.30551    73.74783    56.366207  ]",14.520758155084243
4,2.6117430505629597,7.2605376,1.802,-0.6525513,11.558993357748275,28.7980650818846,"[ -0.27652743  16.836645    20.462143    56.462727   108.864914
 150.03775     94.11987     48.572826    36.02466   ]",15.755104884389855
5,-0.01289127957623378,5.030439,1.893,10.576415,12.584545086146127,25.386404463460032,"[ -0.39597017  29.876995    47.109932    65.852036    99.045975
 103.11788     80.13995     47.221256    32.58797   ]",148.01924959146842
6,-0.04701817823218089,2.426842,1.931,-2.1965697,13.933689634670618,26.37594297563738,"[5.5233043e-02 1.5246033e+01 1.6908224e+01 2.2157871e+01 4.0126999e+01
 1.1229888e+02 4.7502995e+01 2.9474396e+01 8.0943497e+01]",34.09462715228821
7,2.5431233333042127,7.6085944,2.085,-9.601536,16.60051080088477,23.548852074983465,"[3.29729542e-02 2.52020702e+01 3.41658287e+01 5.05484581e+01
 1.20879486e+02 1.73092712e+02 8.52115555e+01 4.61917458e+01
 3.00358810e+01]",23.160084980678278
8,-0.07617133057034486,3.5619159,2.242,-8.134464,16.298662543785575,23.846741831758596,"[ -0.28096545  19.682653    30.129162    43.87139     85.74313
 105.02147     81.72711     52.413624    35.12037   ]",145.60241766211496
9,-0.0858119002085888,7.897474,2.434,-1.3986653,20.288938772058003,19.967357947408306,"[9.7652338e-02 2.4775908e+01 3.3335171e+01 5.8197918e+01 1.0374207e+02
 1.2755760e+02 7.8071205e+01 3.6487278e+01 3.1406950e+01]",16.556232171279174
10,0.6181477971387334,5.199662,2.549,7.8554597,21.95038653452114,18.20693611966755,"[ -0.19354086  33.594086    70.21304    113.241325    86.06643
  76.7582      46.40849     36.90112     25.193851  ]",82.87984526851652
11,-0.6853154063798468,3.4919841,2.748,-6.0749035,14.360906134375258,25.896049650424132,"[ -0.3859548  17.148937   27.586813   50.382084   83.79832   128.10797
  86.16845    47.43491    34.46274  ]",114.40927930592784
12,-0.040818307918370766,3.0560274,2.807,-7.1301246,26.10799867934773,14.086406749745453,"[ -0.888858 115.58787   67.848785  58.538597  36.28351   32.736153
  22.400192  17.498367  27.743536]",15.909424288117188
13,1.3581323217583392,6.0585546,2.921,6.8540096,19.349711918597812,20.83344240063459,"[-0.13455881 36.54637    46.50072    58.3423     84.43586    98.80176
 68.77624    33.379787   28.992062  ]",17.014209686881554
14,3.8336716979551477,8.990892,3.066,2.5209131,19.676692828492047,20.464593393014514,"[9.2614502e-02 2.3113995e+01 2.9775620e+01 5.0250465e+01 1.3662576e+02
 1.7430937e+02 7.6211227e+01 5.5593075e+01 2.7148335e+01]",22.670452673145707
15,2.3753822913555505,8.363133,3.251,-6.1576357,23.494800906006763,16.685928905636302,"[ 0.41272926 27.730532   34.04771    48.85098    72.08814    94.5724
 65.43029    39.279423   26.278494  ]",138.7306685804308
16,-0.13348416343053857,7.070635,3.406,-1.4500945,19.94514704362673,20.221450218628227,"[  0.18357341  23.057154    28.94557     45.70422     99.53641
 118.71131     78.25318     40.48916     33.033215  ]",15.906948699954865
17,0.05999742096481505,6.5760493,3.568,-5.608525,20.937102595270037,19.313382524955127,"[-0.23161292 49.991554   56.14562    65.61824    79.102036   84.99187
 54.99367    29.959017   22.86079   ]",33.84494754875433
18,0.04635431999981575,5.8122673,3.669,-5.457026,19.7004172771534,20.48781073190999,"[-0.33269474 26.996801   35.016735   47.1614     81.47178    86.80227
 60.015476   33.806835   24.897583  ]",25.803065478405475
19,-0.22349150348322272,7.4184265,3.89,5.145356,17.710241488362367,22.56152766546068,"[3.3403147e-02 2.2841400e+01 2.6176214e+01 4.4233028e+01 1.0038726e+02
 1.1497218e+02 7.5640900e+01 4.1285679e+01 2.7310915e+01]",17.67403479690763
20,0.05089507662006033,8.168779,4.102,-1.7261902,21.129390392045313,19.123279486742124,"[3.90640050e-02 2.75067806e+01 3.55001717e+01 5.71514053e+01
 8.23383560e+01 1.17299774e+02 8.44883347e+01 3.12003803e+01
 2.25932350e+01]",17.27360223100159
21,-0.01708157255399728,4.574705,4.158,4.8123198,11.206463707716763,29.03320733453192,"[ -0.17541936  12.021686    14.254743    20.182886   123.77368
 120.73436     98.38147     52.471962    38.517773  ]",21.64471871598299
22,3.2746670414168437,6.7047367,4.348,4.602992,22.799645186769784,17.414654709671137,"[-0.22050902 38.457146   72.88321    78.20152    71.333755   86.06629
 68.04634    30.092169   21.231533  ]",16.97647657318157
23,0.3519650139169789,3.5393682,4.495,-4.454343,25.21068298339835,14.908054350899624,"[  0.31942016  36.604645    52.51083     58.423706    94.748764
 138.74426     86.43407     23.265398    15.106224  ]",22.17862138445151
24,1.8191096752206293,6.181708,4.623,-4.3299417,16.894421683090247,23.4003068604673,"[ -0.27392077  21.877888    31.809656    43.6234      75.65517
 113.754456    77.99375     43.83092     29.491858  ]",23.211697740190182
25,2.7925414542628695,8.437427,4.856,-2.4358957,16.70272760933774,23.590595824953798,"[7.6507837e-02 2.2242535e+01 3.3744823e+01 5.0497242e+01 9.4363846e+01
 1.3303288e+02 1.1929931e+02 4.4385735e+01 2.9968557e+01]",25.67233335776707
26,6.4271014512820965,9.389981,5.103,0.61491495,18.24881212085111,21.98475299438873,"[  0.143582  21.75278   27.960995  44.63253   81.8044   131.05212
 101.64769   49.384792  32.701935]",16.09233633925549
27,0.07882167695440702,9.697523,5.235,-3.8233607,12.282607671254075,27.882035090225333,"[ -0.2381956  18.167624   17.940098   28.024435   74.37164   132.709
  85.32916    47.129402   34.074276 ]",17.268413849107407
