episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,5.612672738896323,1.4030906,1.399,14.326648,14.856515110506642,25.269138322073612,"[-0.18180661 28.607422   19.35386    25.000843   55.143387   51.293438
 55.19508    54.73029    49.33493   ]",19.590078738784687
2,-0.09037431297774852,0.73842376,1.518,-6.767723,27.01662021906334,13.056918414615474,"[ 0.16701883 37.81391    47.399006   28.424068   35.221813   31.625053
 20.829176   42.42145    57.646698  ]",15.929421894347676
3,-0.05424400986628977,1.1189412,1.625,12.322859,14.794104124947914,25.704618176286058,"[-0.10755  29.382124 52.627563 59.692085 43.60021  42.310673 41.56857
 84.12858  44.65453 ]",18.205299073576455
4,-0.018308611563464954,1.4740708,1.829,-3.2294168,21.861464338683884,18.395726162487055,"[-0.48991117 43.224693   43.26086    58.682068   53.79414    45.87961
 46.93153    44.23122    27.831718  ]",21.08397835721524
5,2.6982375821606954,2.3076096,1.88,-5.0526376,25.5090663949354,14.549756362395504,"[ -0.43548366 101.46836     63.54137     65.50829     75.05723
  50.49739     21.189655    15.486535    16.080061  ]",21.950591729824406
6,1.9671422309479776,0.75661886,1.963,-10.214504,13.451699476625505,26.877288545628762,"[-0.08054452 72.119286   43.05167    25.944336   41.225643   76.80797
 35.457146   32.26332    28.486258  ]",133.01405013140104
7,0.019078166137008568,1.7551804,2.024,-0.7351542,22.23778310220238,17.868332235215764,"[  0.21473832  34.018425    36.505672    44.923176    64.371216
 116.6582      75.647       53.760273    31.88544   ]",19.272040608082648
8,0.00826021730667449,2.0173795,2.23,8.980692,24.066616235059527,16.083841674052113,"[7.9630360e-02 3.7836655e+01 6.5399483e+01 8.3704536e+01 8.6721207e+01
 8.7362839e+01 6.1876148e+01 4.1361359e+01 2.3590519e+01]",17.965423058312513
9,-0.0956146362961013,0.70318186,2.356,3.9552796,27.207654982440307,12.923955585232722,"[ 0.3058905 40.494263  31.376217  47.754738  42.395885  56.45749
 56.82498   57.876015  51.237213 ]",36.768082249554006
10,0.008895865949843287,1.9162418,2.413,-1.0765401,15.851209375921545,24.440601648501147,"[ 0.30046344 21.103516   22.290424   29.738255   44.505253   59.091877
 39.693295   37.01037    32.176056  ]",93.1215171805728
11,11.700513019340702,2.6708078,2.576,-2.057926,25.03963520777646,15.359614308743081,"[6.4787589e-02 3.4141113e+01 5.4621376e+01 9.3699684e+01 9.6211655e+01
 7.8288986e+01 5.1496803e+01 2.2321625e+01 1.7404631e+01]",14.964341556166405
12,0.13521371345646488,3.7038434,2.63,-6.531592,17.069889308050833,23.146398138401707,"[-1.3181016e-02  1.9366253e+01  2.4152855e+01  4.0613235e+01
  1.3182208e+02  7.9690033e+01  6.7035431e+01  6.4579285e+01
  6.4224602e+01]",16.79660475722132
13,5.7035496136722585,1.2736245,2.699,7.415647,10.422666443946701,29.973464379317615,"[  0.2926361  10.303565   13.705012   16.772411   18.292683   24.662603
  47.34927    98.609924  111.49231  ]",31.868631215214005
14,-0.1012340197348409,0.662104,2.871,-0.7971693,28.058526840684827,12.04649358911321,"[-0.5322801 27.148664  28.090929  22.367435  19.684793  21.890142
 26.110209  42.91369   50.957363 ]",27.645175371253675
15,0.016309874538287226,1.7177153,2.935,-6.8212824,16.609645745526223,23.527533426870882,"[  0.23105983  16.959055    18.75314     22.780582    32.38961
 114.665115   116.889854    67.19219     49.2938    ]",17.537983079509928
16,5.494781645137442,1.6882588,3.031,-5.2016745,22.936305847200103,17.26330706599486,"[ 0.12687042 33.68047    42.845123   67.29905    77.45742    71.96782
 53.263596   41.954338   24.210863  ]",17.319935999108793
17,8.699703077291469,1.4877751,3.2,-6.2539086,15.776134428820013,24.481981169801823,"[-0.0856017 32.581715  28.66855   35.57866   49.40424   54.5848
 40.971752  33.409367  41.309326 ]",53.97896450036198
18,15.351690935987115,1.2465988,3.471,-5.7653503,21.58873308553926,18.65456129445428,"[6.3376710e-02 2.8474995e+01 3.8677238e+01 5.6145977e+01 6.7091370e+01
 9.9114685e+01 9.8731041e+01 4.8783867e+01 3.0500767e+01]",19.1563866321036
