episode,avg_reward,avg_v,episode_time,distance_traveled
1,0.9159209589440169,3.103645,1.477,2.6812987e-13
2,-3.4845007970577897,2.6883712,1.559,2.842171e-13
3,-29.104673272506034,1.8937639,1.64,4.1961055
4,-50.2570177168161,0.7714106,1.807,1.6077747e-13
5,-14.939424354685425,1.8938437,1.98,1.4210855e-13
6,-31.545008635394783,1.0213377,2.171,2.6812987e-13
7,-6.3680674134755675,1.9545618,2.251,2.6812987e-13
8,-23.352684123419763,1.2438439,2.424,1.2710575e-13
9,-53.22702076773908,0.84503067,2.561,1.8198774e-13
10,-36.35807249594065,1.1171882,2.756,1.2710575e-13
11,-1.568428201114339,2.4943566,2.886,6.78821
12,-49.40744828045646,0.67784214,3.069,1.0658141e-13
13,-38.0302893025146,0.6825549,3.159,7.149733
14,-18.28223137136033,3.2798357,3.222,1.0247593e-13
15,-6.468594565849982,1.7949187,3.301,1.1718571e-13
16,-1.7539655730793398,2.7021844,3.513,2.842171e-14
17,-26.72172341938345,1.2374618,3.581,69.63748
18,-1.4416550103957215,3.6896098,3.779,1.1718571e-13
19,-58.07148532599526,0.52232087,3.888,4.667636
20,-25.86391496259235,1.324425,4.017,4.052561
21,-16.312408758203716,0.9547205,4.074,5.4451423
22,-49.7326460215816,0.6951381,4.176,1.7379272e-13
23,-42.65182151265918,0.80542463,4.611,1.4648214e-13
24,-11.16613788608756,2.0036442,4.68,2.3133595e-13
25,0.40573259054330696,2.7870345,4.72,1.1368684e-13
26,-35.93009121577722,1.3862741,4.899,189.23915
27,-60.639471317348736,0.748144,5.048,1.1910866e-13
28,-42.1487454609755,0.7958858,5.156,1.2444962e-13
29,-46.586132905781255,0.80533755,5.253,1.558342e-13
30,-56.497004183281426,0.7373881,5.43,3.0611117e-13
31,-45.150541934369535,0.7957309,5.589,1.1368684e-13
32,-15.280423196163479,2.4542265,5.727,1.7112135e-13
33,-16.986182476917808,1.7228863,5.93,1.1809767e-13
34,-22.913747596969966,1.6317548,6.002,2.0495186e-13
35,-26.26448714636326,1.5318736,6.052,6.278265
36,-9.0839713974985,4.2965693,6.205,2.542115e-13
37,-43.33674853104532,0.97029895,6.375,1.1368684e-13
38,-46.413268246618536,1.3235878,6.546,3.7517732e-13
39,-41.65302777210501,0.82220006,6.771,8.522835
40,-22.98925401316808,1.1494418,6.963,136.21713
41,-32.103977212313936,1.234334,7.054,5.684342e-14
42,-16.835366299158245,2.631328,7.13,1.4210855e-13
43,-58.49812524269566,0.55684155,7.3,3.706709
44,-31.40212376891387,1.2125998,7.442,4.6505923
45,-21.33553194542543,1.7485138,7.652,8.526513e-14
46,-14.918988446909719,4.4692554,7.832,1.1368684e-13
47,-16.711820636106758,1.6205148,8.014,2.4283518e-13
48,-5.173585383635972,3.653522,8.096,2.2781733e-13
49,-48.20093053250475,0.7493154,8.171,2.2737368e-13
50,-17.83138891961109,1.9950583,8.289,1.1718571e-13
51,-17.198476204130145,2.1061144,8.701,6.5556498
52,-3.077318762751352,1.8886249,8.774,5.684342e-14
53,-3.461684811410446,2.1856127,8.863,6.869173
54,-8.097436857082984,1.5545539,9.023,9.947598e-14
