episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,18.864157029965586,3.2941082,1.466,-0.15792231,22.863594127828804,17.364721671636286,"[-2.1351630e-02  4.0287220e+01  6.1132030e+01  8.7029037e+01
  9.8755417e+01  8.4224854e+01  5.1027504e+01  4.0998554e+01
  5.1150585e+01]",15.072905238795133
2,0.7167661076219861,0.8080003,1.535,3.3720524,24.122019780347717,15.96986642221002,"[ 0.22628148 66.72599    76.67039    55.961803   35.693165   34.666836
 55.99376    22.240822   31.715006  ]",15.810633792520237
3,7.867470692813119,2.5930457,1.63,9.208502,20.301606208455738,19.80652313892605,"[  0.29045537  26.087027    34.247467    59.811947   109.18253
 112.83166     59.2342      64.788666    50.859703  ]",18.793872279446482
4,-0.05655391091257049,0.7989013,1.793,-8.49674,24.697854063807522,15.552554138849459,"[-0.11363709 82.107735   84.51399    56.95631    47.065918   29.135979
 23.219742   19.895819   17.302708  ]",21.704216462842574
5,-0.03167151971131085,1.1508012,1.853,2.6835153,16.130544012022,23.95965915705842,"[ 0.93800044 16.988394   18.759392   22.79891    30.814342   52.29427
 57.42323    72.42482    72.95691   ]",77.22517988716507
6,-0.05563524937115189,0.9974442,1.94,1.3461015,25.9111037296478,14.178166639631606,"[ 0.29489708 65.098816   80.704056   58.404      71.54924    59.026066
 30.348576   17.72269    15.861358  ]",20.41843932859686
7,2.0585581716121077,1.0494918,1.999,-10.0200405,23.282842558928248,16.86144647024549,"[-0.23699306 43.77792    51.87632    53.971924   52.08071    40.126373
 26.570164   20.829556   20.317385  ]",47.78158571087461
8,6.561201056094581,1.3093333,2.188,2.9246511,20.495223921517358,19.648773552026256,"[-0.12418541 37.072575   55.20421    56.91076    66.11992    68.14467
 57.106575   42.748898   37.15751   ]",78.30505614027709
9,0.038247513701258215,2.1508918,2.265,3.571351,17.534479630455387,22.617366632398628,"[  0.12183019  19.696247    26.027283    42.999382    71.79295
 101.27719     88.5679      69.992874    44.018112  ]",15.967038503100465
10,-0.07862808495875225,0.44633964,2.373,-8.431704,16.08924665148214,24.152281544247412,"[ 0.18132807 22.156351   30.241951   41.296      45.943993   52.006737
 53.876907   55.532593   57.64284   ]",19.123803829872877
11,-0.08432319867308835,0.71669835,2.584,2.4394057,13.354963136331211,26.775488052562753,"[ 0.3550613 33.04151   31.661648  44.32044   50.811058  72.170364
 63.789776  48.134777  45.33662  ]",66.92348763991953
12,-0.005015040042508704,1.5922533,2.634,4.4362826,15.219187058877825,24.905770820889582,"[ -0.2061704  16.213707   17.673367   23.591251   63.282536   63.289467
 116.13877    93.6046     53.983276 ]",11.86875326803708
13,-0.014710178152906431,1.534595,2.73,7.3313785,19.54898129575905,20.608561676277265,"[-1.3562130e-02  6.8775421e+01  7.1207428e+01  4.6563633e+01
  3.2677788e+01  3.7141075e+01  4.1834282e+01  4.2209087e+01
  3.4881111e+01]",15.988625481795028
