episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-30.537701704669136,1.6301996,1.228,1.4210855e-13,24.950326869303407,15.273602361823631,"[ 83.42219  109.55421  102.66584   56.24335   30.478098  20.994232
  17.10104   15.640469]",16.448779207169864
2,-8.671074989286712,2.388545,1.309,1.4210855e-13,30.021663951521877,10.290112831797721,"[ 70.181915 147.07158  121.87469   92.065025  31.666252  17.374323
  12.672568  10.843476]",14.862562925894995
3,-30.085094525045204,0.9640138,1.394,1.4210855e-13,26.364736409680358,14.011839652998784,"[117.773    108.80294   78.314926  40.58154   23.742386  17.421446
  14.878898  13.203005]",14.701002355253141
4,-25.279865850880974,1.3245577,1.465,1.4210855e-13,18.838392668611213,21.42225338630726,"[ 29.578514  66.64712  104.21984   64.902885  44.567894  37.52804
  30.626524  30.931318]",22.2681622249563
5,-50.05212784903541,0.77737737,1.713,1.4210855e-13,23.456956208857747,16.87297757881664,"[78.66345  99.50968  98.48265  64.010956 36.893894 27.371746 28.292095
 30.057817]",18.60493180405016
6,-29.485267730723546,1.2998521,1.769,1.4210855e-13,15.027298635444026,25.28849694346254,"[ 16.25851   16.167475  19.045502  40.883324  45.526226  83.45643
 100.15646   82.89492 ]",17.592042073197703
7,-48.13761415662278,0.88145393,1.859,1.4210855e-13,10.210926377545697,30.205735068734345,"[11.276724 11.469875 14.384106 45.406918 39.933064 59.460194 47.862583
 41.768833]",23.354544820096827
8,-41.5166018083655,0.87916845,2.043,1.4210855e-13,15.421674997302103,24.726474694957457,"[51.46194  25.896875 24.957863 38.959908 82.23902  71.23476  62.79378
 43.19642 ]",116.1712837322651
9,-57.071331300820624,0.7152584,2.125,1.4210855e-13,27.03093171799431,13.148197089778328,"[ 98.401    100.12561   81.675064  41.14807   26.126291  17.343708
  14.899306  13.854799]",14.815613263721804
10,-8.9579079862618,2.0196543,2.313,1.4210855e-13,15.79685877678116,24.4975170573063,"[33.099987 51.779083 73.10479  72.2086   72.681885 80.08114  54.31911
 36.602013]",14.954293244075258
11,-61.4365905178275,0.85309356,2.384,1.4210855e-13,23.13796190469575,17.062567685872793,"[37.186188 76.82799  75.58308  43.97561  27.944118 22.499485 21.654034
 29.325155]",25.455348265207007
12,-17.99277004130227,1.1496835,2.53,1.4210855e-13,12.492925763686435,28.097952143301,"[21.49192  14.332232 25.906145 56.77234  53.83554  60.368687 46.35206
 30.88704 ]",95.33791764505085
13,-46.03543056275407,1.184156,2.599,1.4210855e-13,15.097737484757037,25.18060525542537,"[74.37414  83.15431  53.266323 44.83862  41.300686 34.519222 36.19557
 47.1725  ]",124.49503519208395
14,-21.705499476096595,2.7261622,2.666,1.4210855e-13,20.643227031452973,19.49600946581792,"[64.37249  89.525925 85.102264 66.59497  68.65403  58.063232 34.511906
 24.453224]",14.502996586948427
15,-17.857415895118766,1.4627864,2.803,1.4210855e-13,15.011387552536764,25.298171428723165,"[15.845101 18.094511 32.125862 89.809296 88.501945 62.867123 65.85672
 58.126755]",19.32007030577401
16,-10.055263395019407,2.130428,2.854,1.4210855e-13,13.896564585861741,26.336835428082974,"[15.429405 19.632973 38.035473 61.543457 84.854744 90.61459  83.12947
 49.55205 ]",15.93329310842478
17,-37.95452959680376,1.1356585,2.908,1.4210855e-13,24.27049485091968,15.970136191575628,"[61.937546 52.77491  43.55427  51.378586 50.846992 36.881416 21.57259
 19.840414]",19.7118987712949
18,-29.813104941609964,1.3345797,2.966,1.4210855e-13,9.626696030032425,30.72006125808191,"[10.910451 11.125749 25.897501 25.64918  43.704346 56.47091  84.36737
 84.25954 ]",15.910665909604077
19,-7.057528661370626,4.789021,3.103,1.4210855e-13,27.11884201222409,13.109306574298525,"[ 50.87583  118.37158  169.46286   93.97835   44.114384  23.661348
  16.85039   14.171205]",13.56589145604883
20,-15.441347585726602,2.0094059,3.215,1.4210855e-13,23.64792016077736,16.575270658687153,"[ 54.861538  85.715355 114.067924 101.08337   53.8748    29.960236
  21.77846   18.4445  ]",13.806287245005242
21,-10.038114883499668,4.0281134,3.265,1.4210855e-13,22.723057355947144,17.592087339668097,"[77.749565 60.823597 50.31016  58.46875  41.569775 37.229282 40.90403
 62.435303]",21.28355094494785
22,-9.71580272066049,2.414476,3.372,1.4210855e-13,13.646318727345465,26.61262060408825,"[14.967321 16.438223 46.394814 44.072548 67.87878  87.55349  70.1172
 69.84745 ]",27.794928229665423
23,-36.22671528194271,1.0254806,3.568,1.4210855e-13,12.710452544299072,27.741478497409204,"[22.07131  24.162298 37.290154 64.89491  75.76845  68.7546   70.13231
 56.7513  ]",14.980745963887241
24,-45.80580866717232,0.8429311,3.662,1.4210855e-13,11.208227640460048,29.320239214157574,"[ 11.552544  11.217245  13.673997  25.174294  50.781765 107.250626
 100.9283    68.194885]",16.428543072613753
