episode,avg_reward,avg_v,episode_time,distance_traveled,avg_angle,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings
59,-24.413476765989493,0.8876955,8.643,2.0495186e-13,176.06571298953898,26.99831449782316,13.173562857178782,"[ 59.24127   72.882355 114.97812  100.34758   76.36733   27.572313
  16.044104  13.517033]"
60,-25.48790640436624,1.7911668,8.739,5.7254243,111.52880236716476,19.27089578307982,20.999945156206156,"[31.387798 40.975197 40.528355 79.95912  85.93846  74.855995 59.041756
 63.945457]"
61,-22.122774909057416,2.6690266,8.819,1.2021619e-13,77.31698594834087,18.253412079788966,21.89579182078313,"[31.145477 44.6923   54.912067 52.97479  50.040215 39.983128 37.054512
 32.13416 ]"
62,-21.285921757561812,1.4264966,8.947,2.842171e-14,233.92778624485328,15.604159337865578,24.820505229314914,"[18.468525 17.79875  20.409512 31.096663 44.28764  39.5375   51.79534
 46.181683]"
63,-35.54955191475223,1.0837955,9.052,1.2710575e-13,63.25801028203519,20.466122931295697,19.210065573327455,"[42.68067  37.25848  44.524597 65.17602  74.15583  54.629425 33.259903
 28.954458]"
64,-8.510989828466366,4.8726926,9.13,3.3779354,78.00537865248243,16.278429005258385,22.408445458047108,"[48.904636 45.55995  51.63123  44.95381  75.2212   77.56917  48.206493
 33.74371 ]"
65,-5.684029801030533,2.9711413,9.262,5.483099,142.71423688438716,15.732839019258119,24.257059231305345,"[17.353773 20.364141 28.017206 57.25309  97.843506 77.50532  64.40305
 45.061317]"
66,-43.65907465908596,1.1581416,9.441,5.01263,151.00734054280213,24.854357038863125,15.284461424203602,"[57.576115 65.96976  81.287834 96.45852  64.072495 43.854744 20.872477
 20.101772]"
67,-6.769477697829825,1.7699602,9.491,5.254688,140.6981964648689,26.98713564097753,13.187414171587516,"[ 77.30277   65.193565 124.07279   37.545956  65.215775  24.883419
  16.105532  14.516084]"
68,-35.64511046977547,1.2910769,9.581,1.2710575e-13,123.39767472118382,17.662492383712408,22.45137668463595,"[47.52126  39.025703 32.787136 50.144947 60.382843 72.60781  93.99242
 68.97156 ]"
69,-8.502155427545203,2.859723,9.756,2.4283518e-13,141.10601543554674,19.117378038664647,21.023878040076003,"[ 25.748163  37.21508   78.59104  102.973175  90.89354   85.88605
  79.22008   40.99361 ]"
70,-38.903202217453845,1.2118803,9.893,1.2141759e-13,136.9738621916799,28.95285604325892,11.402778242013161,"[ 79.96773  123.84031  107.25593  115.26437   56.39951   33.65802
  14.192744  12.408117]"
71,-30.46183761839795,1.4417003,9.987,1.8474111e-13,125.51447203163605,12.17897026358975,28.50910219617784,"[13.382677 15.210962 20.648949 36.70006  67.76162  84.464714 69.9909
 39.766018]"
72,0.5491818390085433,3.209721,10.109,6.5399523,94.03443789983221,23.97610747867048,16.162776217682993,"[ 37.200577  52.23202   88.8206   146.1697    79.907265  31.859613
  21.237513  17.74419 ]"
73,-13.913366733206702,1.9122205,10.223,8.526513e-14,108.31935605074516,12.238452809527205,27.985322331628325,"[13.269897  15.3812475 21.9172    46.77574   67.06827   77.98238
 82.4174    73.56665  ]"
74,-37.93017352188802,1.012441,10.319,1.4210855e-13,60.90170597122252,22.507309883186476,17.611037471737454,"[55.70305  90.23488  93.69593  73.8633   67.45884  56.07891  29.564535
 22.346043]"
75,-32.95854620536877,1.371693,10.453,1.2237862e-13,91.94290796872745,24.711911328890423,15.396780056079388,"[66.58695  42.522404 27.409096 23.01444  23.676992 29.003908 24.206238
 18.807241]"
76,-20.532821210478915,1.2151971,10.52,63.01606,95.6212803656472,24.987214874652093,15.124451324121297,"[62.72843  68.48863  71.334    59.010246 76.493774 28.365686 17.888151
 17.413374]"
77,-23.203501248676393,1.9957451,10.577,1.1457157e-13,170.9831764956119,24.887559373858796,15.245702015425804,"[66.977455 71.21043  90.20038  94.508545 55.176006 30.85017  40.228905
 26.699036]"
78,-26.039292437384034,1.1450671,10.622,2.316699e-13,77.44295217769509,14.145086147936905,25.75906141145878,"[12.291342 13.08121  14.979718 20.672531 31.433514 27.613695 31.848356
 56.415848]"
