episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-43.81816830895072,1.1676648,1.281,inf,23.196211821326052,17.005957250864128,"[-1.8511606e-02  1.3153882e+02  6.1183086e+01  4.6714386e+01
  7.3851097e+01  9.7331215e+01  4.2232937e+01  2.3753929e+01
  2.0159960e+01]",12.575338341214046
2,-16.814735543592995,1.5260066,1.371,inf,15.819161346058735,24.42327145746406,"[  0.12325759  19.752195    27.10957     54.561188    66.53793
  59.483093    85.26055    103.983315   105.41455   ]",15.518073921188096
3,-19.96541159413556,2.7523062,1.428,-inf,24.422760087409277,15.769689568039766,"[-1.81011576e-02  4.25317879e+01  6.30068817e+01  7.97961197e+01
  1.10138794e+02  9.55642929e+01  3.83259773e+01  2.27141094e+01
  1.80212440e+01]",18.031241356746587
4,-39.731916049714165,1.0672905,1.54,-inf,19.624376922113118,20.564942241922488,"[9.17145982e-02 2.64364262e+01 3.99177017e+01 8.84529648e+01
 1.13731346e+02 7.70588303e+01 5.00044746e+01 3.74856834e+01
 4.94990120e+01]",14.864700826945816
5,-35.36218665805812,1.6533554,1.719,-inf,20.84935751854223,19.353734572226475,"[-0.1081863 54.4171    84.41256   69.12252   59.89323   53.044964
 56.409058  35.58994   36.953857 ]",65.81226372450215
6,-10.508283528027498,2.8872778,1.96,-inf,23.51255088958024,16.677818120327455,"[-0.19890386 41.87514    70.00449    86.48881    72.660995   54.290035
 47.4646     38.077106   28.983025  ]",17.42099005995808
7,-41.686223725991816,0.7692566,2.076,-inf,27.013147509737408,13.201633488966419,"[-5.4761559e-02  7.5130394e+01  9.8257599e+01  7.3973526e+01
  4.2365067e+01  2.8559711e+01  2.2547552e+01  1.4832690e+01
  2.3211384e+01]",13.507147739881974
8,-1.4857327790255512,4.5252123,2.256,-inf,17.106029415942963,23.16984507010512,"[ 0.16071203 26.832088   33.958046   48.155342   61.828545   83.579216
 94.00682    55.771038   37.86689   ]",19.628669427049076
9,-75.4384435977274,0.41040608,2.337,-inf,16.43784034523602,23.63518959911988,"[ 0.3875872 24.123161  19.087517  18.291313  19.329506  24.247084
 32.588493  47.577892  69.85677  ]",105.25792407817636
10,-22.59882391882923,1.3309232,2.422,inf,25.041185037476062,14.857284447379916,"[  0.28937355  56.078945    78.21244     70.45403    102.17548
  87.00365     40.658813    20.037672    16.418962  ]",20.724338343770473
11,-22.77705141175808,2.2019572,2.464,inf,17.572485966846656,22.51358525478758,"[ 0.3168628 25.266293  34.794815  80.10411   87.5258    63.494934
 41.254272  35.820362  37.105965 ]",42.22324558591449
12,-38.38555107523298,1.3573363,2.608,inf,15.45171008049908,24.72685771654993,"[5.9837990e-02 1.6484261e+01 1.9520567e+01 3.0000898e+01 4.9058750e+01
 4.9156292e+01 4.6444366e+01 4.4849380e+01 7.2316818e+01]",15.932872467644788
13,-38.776933570587545,0.86945724,2.812,inf,16.993943942580646,23.12558099929109,"[-1.7380016e-02  2.5840704e+01  3.0243546e+01  4.7310699e+01
  6.0001026e+01  6.1372631e+01  6.1640793e+01  4.9662773e+01
  3.8213577e+01]",30.65566569571369
14,-38.5908348467639,0.9878439,2.898,-inf,26.14239291006369,13.953329789773491,"[-0.18061166 38.960304   52.316895   46.282673   33.15418    21.414282
 19.93574    28.48584    49.143627  ]",17.393435597598454
15,-54.53524628271523,0.57657987,3.019,inf,25.95595073755974,14.269041408827087,"[-0.34722626 51.59729    39.124416   35.212788   36.8411     28.766935
 20.498499   23.16965    34.2821    ]",16.47453783762673
16,-11.536991980193463,2.2677395,3.215,inf,24.928268153300607,15.321564236850117,"[ 0.11824451 35.820568   55.48004    84.42751    95.213295   73.368675
 63.779697   46.16469    31.51918   ]",16.637517319213053
17,-46.60464929814271,0.94316435,3.284,inf,14.441430599003464,26.002699451332493,"[3.3554159e-02 1.5159699e+01 1.7040512e+01 2.3361465e+01 4.5748283e+01
 8.6498886e+01 8.2663132e+01 7.1659615e+01 5.1237568e+01]",19.849652921430504
18,-41.68766657098782,0.9218778,3.378,-inf,12.499202818751584,27.569485589213627,"[ 1.3245986 12.96236   14.542966  18.703323  27.722248  36.644657
 52.348774  74.97744   81.21355  ]",15.286373938310069
19,-40.086633014482686,0.7894634,3.568,-inf,13.933864885135506,26.163254929642903,"[-0.32511526 19.35463    16.236801   25.203524   49.3986     87.40289
 95.68074    77.29785    64.9927    ]",120.2826737188399
20,0.6457044464182944,2.169489,3.653,-inf,13.914814114613986,26.18142755680059,"[5.0106015e-02 1.5535204e+01 1.7698252e+01 2.7753073e+01 5.8046055e+01
 6.4554611e+01 8.8075455e+01 8.8435364e+01 5.2384209e+01]",25.468475597061914
21,-15.798285843078203,2.3927166,3.783,-inf,12.126988522889024,27.8583107303569,"[ -0.12706436  18.242792    15.035761    21.225824    70.689255
 112.19472    108.488144    69.01844     47.331547  ]",124.75708513705517
22,-35.806514353683305,1.0659829,3.936,inf,20.020407919989456,20.139547352163017,"[ 0.2403653 34.88286   41.34327   39.32839   55.185387  63.333794
 77.97559   74.61685   67.68822  ]",24.65618227352485
23,-34.53615268004627,0.79231936,4.087,-inf,27.19708085362709,13.164819470981866,"[5.4316018e-02 7.5937599e+01 3.4755173e+01 2.6195568e+01 2.8298780e+01
 2.7627953e+01 2.1631735e+01 1.7475903e+01 1.7844303e+01]",17.611092798207487
24,-5.93344284046409,1.951563,4.146,-inf,27.709885900400515,12.511680587906213,"[  0.13983396  75.30348    134.88779     67.59795     44.04239
  38.995132    26.33298     16.03045     13.566435  ]",40.19477655858026
25,0.3926164843442999,1.8035972,4.18,inf,15.592875671321991,24.592514800910337,"[ 0.21526434 16.892319   16.75284    20.927988   28.12111    45.238857
 74.1853     57.442776   45.455387  ]",117.13861709105647
26,-5.575480859814522,2.1032927,4.331,-inf,19.071163725399703,21.100134654391212,"[  0.32169142  21.409744    25.373423    34.17911     55.522907
 115.28839    128.06554    104.89276     66.050804  ]",13.901241844293104
27,-2.560462932010826,4.5917864,4.423,-inf,22.933837426441176,17.40515627415682,"[5.8926221e-02 3.0645237e+01 6.7415482e+01 6.2316353e+01 7.2016937e+01
 8.5105820e+01 6.7612305e+01 7.2011711e+01 5.1939629e+01]",18.248263577744122
