episode,avg_reward,avg_v,episode_time,distance_traveled,avg_angle,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings
1,-45.1727707140016,1.1765044,1.568,1.1368684e-13,235.7495894402883,25.72151236542175,14.146890480984606,"[52.42311  59.455776 50.852306 47.03857  52.44216  47.675285 42.975025
 41.24779 ]"
2,-29.027480828584306,1.7063631,1.678,7.5522485,222.4555188232226,23.16545682080148,17.07301901590902,"[47.052914 59.818405 65.846634 91.32102  79.76345  43.736965 24.41368
 19.34379 ]"
3,-17.608063894535526,1.1607736,1.769,3.2155493e-13,85.48239559686148,25.905106024712925,14.447669100687836,"[46.891766 61.625393 49.489475 63.428345 59.893158 44.59082  18.478512
 17.431004]"
4,-39.85021644430466,0.765392,2.034,8.526513e-14,120.56201443780279,19.925553867572937,20.130221558490728,"[29.669176 28.955643 36.786224 67.26563  78.84472  83.439606 67.70708
 59.334557]"
5,-6.385118795449356,1.6873659,2.075,5.0564704,71.98397605993014,14.684425738255849,23.852485444494555,"[15.373768 15.676419 17.28552  21.88607  58.14066  37.345818 29.25839
 36.06307 ]"
6,-11.489286588595546,4.663941,2.211,6.48896,156.73274959789623,16.86120261476936,23.30282792012041,"[ 27.670935  35.724823  52.695107 131.46672  120.94641  116.68246
  54.75339   30.401655]"
7,-44.14141135509412,0.83468753,2.367,5.275455,82.34017933427134,14.092040640325454,26.091338821729877,"[ 18.851974  17.369213  21.774195  22.93683   22.381111  44.590466
  49.58476  125.96222 ]"
8,-37.45097549048139,1.5281563,2.462,7.1054274e-14,168.4569104778245,26.50367644891272,13.6657811470906,"[38.368134 30.730547 20.571602 22.89531  27.880594 33.772713 49.78
 65.557556]"
9,-19.02224331810178,2.364762,2.554,2.5746758e-13,97.35949786390009,16.202058768583864,23.950721042360303,"[17.484526 20.563612 34.978497 69.49433  76.00578  68.67536  51.83036
 38.432663]"
10,-59.14269267381996,0.42222333,2.764,1.5964313e-13,70.08077659762193,11.17617243062279,28.94045190980127,"[26.223858 20.610062 28.323584 40.083855 41.658    43.96805  59.6711
 71.80267 ]"
