episode,avg_reward,avg_v,episode_time,distance_traveled
1,-26.590475571707326,1.0887623,1.381,4.405464
2,-5.891395583212198,1.8508264,1.424,2.2737368e-13
3,-9.797888931749043,4.8699913,1.492,7.1054274e-14
4,-19.6732524033397,2.002092,1.531,1.6077747e-13
5,-62.15886944907699,0.45614862,1.749,1.0658141e-14
6,-20.835121329759218,2.1885705,1.876,9.592327e-14
7,-8.741138137267662,2.1888309,1.909,2.3133595e-13
8,-11.548880486558442,1.4606987,2.039,6.4009786
9,-40.40811430251815,0.9562882,2.28,8.038873e-14
10,-16.909002756509548,3.875384,2.379,9.947598e-14
11,-33.75319244084997,1.4253489,2.557,6.279321
12,-28.40832029425007,1.6430465,2.727,3.9467726
13,-19.077650484087055,4.7066684,2.903,1.1368684e-13
14,-46.99220822979696,0.666153,3.029,1.6077747e-13
15,0.7765331307914625,2.484513,3.184,8.230461
16,-8.481984572011799,2.790061,3.23,2.542115e-13
17,-7.279647211906682,2.3460505,3.282,9.381543
18,-33.49041758959667,1.1648961,3.388,150.45782
19,-15.266242730231022,1.7764851,3.522,7.134897
20,-13.76483311292129,1.663107,3.603,3.2155493e-13
21,-43.630146816174616,0.8631593,3.743,2.4283518e-13
22,-43.60655227070166,0.6834452,3.901,1.1718571e-13
23,-48.994336087538464,0.595739,4.005,2.2914315e-13
24,-17.40840299510597,3.9781303,4.162,3.94847e-13
25,-19.538086327163576,2.753693,4.199,3.6955053e-13
26,-24.41275903646001,1.643067,4.428,2.411662e-13
27,-7.449042048730806,2.0098236,4.475,6.620074
28,-5.104391103715234,3.1385045,4.54,1.1368684e-13
29,-65.66246963939776,0.6579523,4.722,4.6874283e-13
30,-26.58195069530706,1.0870831,4.786,1.03916875e-13
31,-1.7525324773046553,2.512577,4.868,1.6077747e-13
32,-19.322655797074535,1.8766638,5.015,1.6077747e-13
33,-5.0986671162003905,2.9023905,5.08,21.511572
34,-32.6722736570453,1.0528986,5.182,1.2710575e-13
35,-16.072480621285568,1.3027662,5.27,5.684342e-14
36,-31.836099934751275,1.8278573,5.462,1.6077747e-13
37,-32.49955020214036,1.481254,5.61,2.9162982
38,-4.948313887094938,1.3993753,5.668,1.6077747e-13
39,-50.77177626635793,0.630833,5.995,304.90485
40,-10.432523353440661,1.7295728,6.065,6.644431
41,-18.740746739604262,1.4965347,6.195,2.2737368e-13
42,-26.720717687727365,1.9083467,6.392,1.8198774e-13
43,-47.782231275097736,0.9226326,6.469,3.836443
44,-37.301496143525185,0.97301775,6.661,293.31638
45,-9.742175305690917,2.1852818,6.703,6.0827837
