episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-29.27888597863922,1.1930957,1.316,-10.0,16.226237952263638,23.958844653357534,"[  0.23285595  20.852001    27.237728    50.23204     88.01844
  80.20613     74.04158    100.93273     59.808216  ]",15.125039716493553
2,-12.758055295179133,1.1744035,1.382,-2.9068923,15.428762066036619,24.66891900977263,"[ 0.6995807 16.510426  17.822544  20.686035  27.057972  41.435802
 63.169167  57.935295  49.737392 ]",27.423785560295194
3,-24.485388924805314,1.5039049,1.512,7.945047,25.011201046047557,15.171263476967887,"[ 0.18075629 60.892555   76.10125    83.311      66.44915    59.687153
 65.054474   55.012634   39.089996  ]",14.01878263600894
4,-6.730639318877906,2.8507237,1.636,-10.0,25.20163868012809,15.118707419367931,"[-0.4846968 92.789665  66.24651   69.99418   73.51649   36.14276
 24.649036  19.289028  16.776041 ]",23.61527458586966
5,-25.924365139621283,2.729645,1.766,8.071824,19.87646875665175,20.239582329891086,"[-0.33632794 64.073814   64.059875   93.55884    95.53395    77.44309
 41.202965   41.634884   41.530315  ]",76.02469907922054
6,0.4985579567284347,2.848064,1.827,-0.55072385,16.18578477447391,24.02739047158293,"[8.4781423e-02 2.8198298e+01 3.0182240e+01 3.8417076e+01 6.0803875e+01
 9.0594910e+01 8.9355896e+01 7.5404190e+01 4.8445301e+01]",127.54244065563485
7,-17.185101485839745,1.6271796,1.97,-2.387306,14.56870078246963,25.637328610495334,"[ 0.8282373 16.783272  16.724335  24.452475  25.782503  38.816307
 70.59723   53.463917  48.500263 ]",149.4614439349281
8,-6.707562351203083,1.5718297,2.024,8.789852,26.417618827442237,13.697128342511414,"[ 0.34495538 66.11787    48.84469    41.361553   43.4661     37.06916
 42.813683   17.222687   35.9349    ]",58.44362707311484
9,-59.04423853739296,0.6978835,2.183,10.0,29.036301725558847,11.335649705358062,"[ 0.11722639 39.070087   46.733627   48.07642    44.64629    27.627111
 25.171726   14.001517   17.279837  ]",14.57666092286265
10,-24.150753910978636,1.1667731,2.242,5.2703543,24.38005106122601,15.848237902926547,"[-2.7454283e-02  5.0045055e+01  5.2127571e+01  5.8974552e+01
  5.2444641e+01  5.9592175e+01  3.1098404e+01  2.3240250e+01
  4.3066006e+01]",22.807325203019847
11,-35.67605983844215,1.3502911,2.389,10.0,25.138409148658948,15.09230711408956,"[  0.17649303  54.13617     83.391396   105.41582     80.92583
  40.155827    21.208542    16.828941    15.6926565 ]",33.44778084856949
12,-7.300894036732771,2.132229,2.442,-2.6325698,25.43438711226912,14.66233545711175,"[-0.14719956 74.64049    98.5003     64.28379    74.132126   29.247276
 20.139212   16.55319    15.370322  ]",17.10846832690088
13,-56.73243199356725,0.9890267,2.556,-4.1938224,20.428591942999844,19.82150696725202,"[-0.23872808 80.355095   91.728165   89.17696    73.22348    65.9547
 62.38181    52.95999    29.731277  ]",81.19010405512658
14,-42.82906566311748,1.3028663,2.733,-5.9528723,16.73461193904048,23.33604485380912,"[ -0.11820323  20.468292    28.814081    46.49466     75.02099
 109.16341     82.33493     63.45032     38.51512   ]",21.174384925638826
15,-12.170218875744908,2.5729752,2.774,-10.0,14.033374303923786,26.096592466309406,"[  0.19108148  15.010469    15.441324    17.793015    23.75373
  38.669575    46.12625    100.071075    80.80816   ]",24.03297370072413
16,-45.464770952065905,0.68957865,2.891,-5.4350443,27.385237940698516,12.684821674179696,"[ 0.28683493 59.341892   55.007267   41.155697   35.967865   45.351612
 30.615303   23.804754   34.518677  ]",23.297461868899163
17,-28.87509750182221,1.4066653,3.023,-10.0,16.018266814703136,24.175596144615444,"[9.04476941e-02 1.70055599e+01 2.01189022e+01 2.90951214e+01
 6.10297546e+01 1.02864197e+02 1.06699730e+02 1.04317894e+02
 7.29708328e+01]",29.340630650736074
