episode,avg_reward,avg_v,episode_time,distance_traveled
1,-18.526027882458603,1.458704,1.209,3.94847e-13
2,-34.17550624043739,1.5559754,1.315,1.0247593e-13
3,-5.380828018346064,2.1441827,1.351,2.0495186e-13
4,-25.162363229329635,2.307809,1.443,1.563194e-13
5,-42.19738969034873,1.1030262,1.486,2.0495186e-13
6,-38.63330339681299,0.8401206,1.697,2.842171e-13
7,-8.9306113887807,3.4069867,1.737,2.542115e-13
8,-3.8578926735845047,3.9086165,1.778,6.9572153
9,-4.675702698070833,3.1006832,1.816,1.1368684e-13
10,-31.919483756543958,0.80781007,1.893,6.1426916
11,0.6648896097666732,2.0883079,1.928,1.6077747e-13
12,-16.356004683357313,1.5616997,1.961,8.526513e-14
13,0.2763009862970836,2.2316115,1.993,5.3679156
14,-32.45446270233212,1.1127539,2.063,5.202028
15,-22.999580192319915,1.379837,2.167,1.7112135e-13
16,-25.51840653830374,1.9694371,2.293,1.6077747e-13
17,-13.170851439650276,3.0498092,2.337,2.5748408
18,-7.402278973571845,2.0388422,2.362,1.1374234e-13
19,-15.01256482124262,2.068498,2.42,2.842171e-14
20,-29.698882357091104,2.1036007,2.485,4.50059
21,-10.579299225435392,2.2115357,2.53,4.068688
22,-58.25356991087307,0.6710838,2.606,1.1368684e-13
23,-31.261110579297053,1.0607066,2.665,5.4312396
24,-9.200628348552982,1.8155462,2.795,3.212303
25,-6.707647727633491,2.4315834,2.84,5.684342e-14
26,-24.112369643976056,1.3400577,2.894,6.2821207
27,-16.353383062779177,1.2698418,3.027,6.339249
28,-27.03826014841151,1.169964,3.146,147.55202
29,-51.69776803974697,0.53704613,3.228,41.914482
30,-18.371068329756962,1.9630482,3.323,5.54451
31,-37.4954055907208,1.2164605,3.363,2.3437141e-13
32,-5.5044057614017765,2.3092797,3.399,2.842171e-14
33,-42.20704100115698,0.93084747,3.488,1.7053026e-13
34,-27.870693698739466,1.5071933,3.542,1.1368684e-13
35,-53.75977894070676,0.91047734,3.592,3.0611117e-13
36,-37.60656993452696,1.139649,3.674,2.1090077e-13
37,-27.76640901070524,0.794286,3.811,1.1718571e-13
38,-33.17481963610539,1.1577415,3.844,5.684342e-14
39,-35.99395728473699,0.7212847,3.894,1.1368684e-13
40,-18.30184666877113,1.5817838,4.022,1.1368684e-13
41,-40.48292732565508,0.70962536,4.189,1.8758866e-13
42,-2.0520757638816924,2.9119072,4.265,6.2915764
43,-34.970855227591294,1.0504465,4.35,117.77531
44,-5.065669455950555,1.9819058,4.388,5.684342e-14
45,0.2821272581966895,2.4529927,4.416,1.2710575e-13
46,-24.634187159699636,1.3218615,4.456,6.037609
47,-30.17520969785467,1.1231375,4.509,1.2710575e-13
48,-13.872661027673766,1.8137789,4.625,7.1054274e-14
49,-42.60555635947308,0.6880889,4.78,1.2141759e-13
50,-48.05605737769578,0.84262234,4.844,5.684342e-14
51,-18.489368639852735,2.800881,4.885,6.905656
52,-16.751816348701396,2.3072152,4.964,5.684342e-14
53,-48.85096933997893,0.8024617,5.102,3.0926576
54,-10.943507895559883,1.5408155,5.24,2.327502e-13
55,-44.20297111376194,1.3800818,5.301,6.218142
56,-23.097015106030216,1.3855143,5.345,5.2172318
57,-25.646876012775714,1.0588329,5.428,2.0495186e-13
58,-10.706932975509746,1.4756833,5.556,1.5106346e-13
59,-56.80680960228336,0.55935496,5.653,2.2737368e-13
60,-15.131324468398548,1.8409991,5.798,2.842171e-14
61,-10.801241420744725,2.595498,5.995,2.3437141e-13
62,-44.67236446725637,0.83660513,6.043,2.0495186e-13
63,-2.343816306465895,2.4068537,6.11,2.842171e-14
64,0.3677908267992282,2.5721414,6.136,4.9136286
65,-6.631740613686547,2.3387685,6.165,1.7053026e-13
66,-22.08319780358837,1.3902441,6.215,1.0231815e-12
67,-31.465540621233615,1.1340675,6.271,6.750156e-14
68,-19.92432098070743,2.9985054,6.327,3.5155714e-13
69,-6.358984024483989,3.3789198,6.483,6.806348
70,-25.262372131576452,4.1862507,6.552,1.6077747e-13
71,-34.67463026079943,1.1159177,6.589,1.1368684e-13
72,-15.568768012620913,2.2189858,6.656,7.9848833
73,-14.834962740793394,1.6445355,6.687,5.6960564
