episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-37.121184473885315,0.78017324,1.329,15.082956,14.25266720667221,25.800219662734754,"[ 0.3455079 17.526161  18.307732  21.378847  20.80371   22.106964
 32.92342   64.854744  65.08754  ]",16.380369706336207
2,0.6689979195021271,2.7629323,1.395,-14.357502,24.642006192573053,15.536751231225573,"[ -0.3973382  88.57032   103.32327    76.29122    47.336864   35.702484
  34.554863   26.394596   17.206663 ]",22.074795489429818
3,-9.331264410843968,2.0484245,1.461,-13.708019,23.344306781964974,16.790622432404813,"[ 0.38335985 46.4822     42.258797   54.48519    60.105305   63.129467
 57.046104   44.199257   20.513432  ]",20.26062783432806
4,-14.939475108249486,1.9118373,1.626,-1.131184,11.304250017621303,28.95187507562867,"[ -0.22486588  11.582493    13.756357    20.616722    75.71763
  94.7318      92.521286   104.376884    65.42195   ]",13.935356630633331
5,-12.708675650859094,1.4626011,1.731,-11.56738,27.633788732663895,12.580588416355985,"[-3.5633255e-02  7.0926254e+01  8.6437149e+01  6.9662773e+01
  4.9726517e+01  4.2309212e+01  3.0691023e+01  1.5626742e+01
  1.2925947e+01]",15.412548556311263
6,-14.392971551604612,3.0269253,1.838,-1.6328738,24.632520974401324,15.556541256001251,"[3.5850175e-02 3.6444107e+01 5.2506271e+01 8.3054512e+01 9.1519020e+01
 7.2632454e+01 5.4963261e+01 5.2407883e+01 3.6026039e+01]",14.89385081956143
7,-9.479320656668843,2.4744875,1.91,-10.482181,25.50178328272697,14.770870177242795,"[-7.4684851e-02  5.3230858e+01  9.6725090e+01  7.8376350e+01
  8.3467941e+01  6.3577057e+01  4.3408501e+01  2.1839729e+01
  1.7240788e+01]",19.37273644353937
8,-23.517980140035945,1.2735049,2.063,0.0670211,22.875594179207305,17.227984869972804,"[-0.32994094 76.08423    67.33154    45.48883    52.199383   59.173203
 43.085083   35.455013   28.799673  ]",54.31411134492695
9,-9.443984572734813,2.0127995,2.415,4.41658,21.57181943535904,18.62379779882582,"[  0.3084332  27.823322   35.332348   49.05737    55.071526   80.137
 119.978195   75.25417    41.9407   ]",13.983056913139825
10,-31.697367419217795,1.7274523,2.564,-7.8064013,17.23518683293113,22.899174598516442,"[ -0.3213804  31.490276   41.85025    51.990807   63.46113    73.87125
 107.59255    69.43196    40.83777  ]",14.70646584813977
11,-38.62880648089815,1.3325665,2.619,0.8894565,15.776466870238185,24.286617766553054,"[ 0.3336651 15.628045  16.70322   21.493778  32.446835  59.7882
 71.06795   93.40982   87.1386   ]",15.245313951923972
12,-47.67598754741386,0.7350138,2.835,-6.015742,16.409607417400995,23.993845249738424,"[ 0.08038805 50.89265    55.76328    68.35233    52.998108   56.10956
 48.519547   41.354794   37.87944   ]",90.93515742347466
13,-26.201848937674402,1.0671343,2.917,1.9832132,10.680348275493362,29.502284041433366,"[ 0.33305278 11.542823   25.998531   21.659882   21.175526   28.109596
 49.996593   66.82435    82.09699   ]",13.353885753420203
14,-4.934799777154575,5.598305,3.002,-1.8637693,29.3211181011723,10.976973453367627,"[ -0.25627303  69.81997    100.93661    134.08356    122.62241
  51.65725     20.808647    14.184349    11.816989  ]",16.526044704544574
15,-43.52874409569797,0.6751269,3.156,4.386826,18.049755778956104,22.32197902146927,"[-0.08671062 60.22297    35.874737   35.74734    38.073174   37.69615
 39.373528   35.095173   41.435925  ]",84.16727453395302
16,-32.76717696470421,1.6180274,3.276,-6.110602,15.924906673168884,24.251303603280178,"[  0.16487604  16.731564    17.575548    20.84586     29.507282
  55.154293    61.084984    73.50324    137.91571   ]",19.051977958329324
17,-12.71652131243442,1.3857974,3.337,-5.9988003,13.462934789260993,26.812266359885562,"[  0.2232055  13.912692   14.543308   17.039528   23.560337   44.29011
  78.32896   105.13629    71.38734  ]",149.39651853232596
18,-38.4576972344749,1.2530085,3.404,-5.8806233,16.379982991305255,23.68614152002942,"[  0.2238804  27.371866   18.010326   20.516321   27.585255   74.72781
  93.28559   105.939476   97.59576  ]",14.240290664722544
19,-17.204542284329598,1.3406357,3.524,0.3673901,13.726620352189281,26.454779620397318,"[ 0.4712355 13.325072  14.493569  17.150497  29.815676  37.247032
 56.70093   59.787315  61.592197 ]",18.636926982782406
20,-2.4576554068408036,5.241537,3.618,5.5309734,17.853937282692783,22.356731046871356,"[3.06910556e-02 3.84034309e+01 3.54034767e+01 5.10704422e+01
 1.18102722e+02 1.25744675e+02 7.22696762e+01 4.15901527e+01
 2.84859447e+01]",15.129403097822447
21,-24.60303047161163,1.1150016,3.739,2.9026654,26.492852350015315,13.483771126749758,"[ 0.22939062 50.28582    57.76981    76.31884    78.57309    62.880672
 43.410965   37.45729    27.260689  ]",18.214784046152403
22,-34.57964562312187,1.3213134,3.924,-5.099439,27.032325602539828,12.508842967998646,"[  0.10826398  46.636868    63.310024    77.021194    95.69421
 100.74295     55.66604     20.502844    15.554621  ]",26.496622169269862
23,-16.210267277842686,3.0135095,4.047,-0.95284027,22.032089622690886,18.162667824769464,"[-5.4407995e-02  6.1414684e+01  6.1130402e+01  6.1186203e+01
  5.2124714e+01  1.0237555e+02  1.1103178e+02  3.6335743e+01
  2.4568481e+01]",16.00178234352987
24,-24.777396040545536,1.8989154,4.093,4.88878,15.98825667700517,24.153696292600817,"[  0.42368028  15.5344095   18.416708    17.924152    28.520315
  43.013187    83.94137    148.1151     109.84824   ]",16.602097016097886
25,-43.68127418249175,0.7916916,4.242,-0.102196775,29.40003566825335,10.666812122038897,"[ 0.86859626 52.256035   53.0475     56.075417   62.23346    52.21832
 67.68801    27.356369   62.82737   ]",21.815698024730477
26,-15.683994439594812,1.5593703,4.476,2.8210711,20.084646495253928,20.153118690817404,"[-6.9236748e-02  4.2994247e+01  5.2506638e+01  6.5981522e+01
  9.1916084e+01  7.6249550e+01  5.1591446e+01  3.6991734e+01
  3.9314709e+01]",63.68067615665832
27,-5.56360655300007,1.7768873,4.619,-0.11744989,27.241830151929303,13.359207780239897,"[1.4430085e-03 5.4437149e+01 4.7821350e+01 4.4896851e+01 6.1726212e+01
 4.7471481e+01 3.9371410e+01 3.8057793e+01 3.3821659e+01]",19.52532053775397
28,-33.26169220068501,1.2023723,4.777,-2.085955,17.431292664713055,22.723471232878527,"[ 0.47110173 31.573986   38.932873   47.806587   48.839237   67.38429
 50.05392    50.29069    68.94887   ]",46.50213658673717
29,-15.180650787171238,1.6812203,4.887,-4.094166,13.180657778955217,26.950208101526616,"[-7.4690588e-02  1.5591747e+01  1.4935440e+01  2.0150383e+01
  2.6724331e+01  3.2898384e+01  5.5261581e+01  8.9608978e+01
  7.2810150e+01]",21.869662880614158
30,-38.70589480516431,1.159806,4.955,-2.8056338,15.318982741894148,24.700795288259982,"[-3.8075697e-02  1.7410849e+01  1.9592899e+01  6.5449158e+01
  4.8291676e+01  5.2877628e+01  9.7668709e+01  9.2005852e+01
  6.5949051e+01]",11.410613127623678
31,-27.420139419648436,1.7511708,5.016,0.8721564,18.129813122759188,20.73172899420932,"[ 1.7613294 20.210758  22.292717  26.240074  33.833855  49.0659
 54.871788  70.629005  98.736084 ]",13.309179161538088
32,-47.97727659026509,1.1317542,5.163,0.06789731,16.925596358178993,23.186932654159076,"[ 0.29384828 18.494036   21.371836   28.099379   45.318012   86.48687
 68.70392    68.218956   86.8648    ]",25.62987746573278
33,-26.85507283455968,1.0427376,5.258,-1.6934469,27.4364516653643,12.786507004135276,"[ 0.22208372 47.54153    64.584915   61.938328   48.850292   39.07959
 27.609013   28.031883   30.480604  ]",27.618107519947348
34,-65.42496558198819,0.71339417,5.333,3.3031647,17.137291295566452,22.86963617363602,"[ 0.55901074 18.664207   17.684977   27.50255    31.69427    37.05073
 52.189095   60.276085   63.689453  ]",15.441438651034701
35,-29.01002923424987,1.3442178,5.463,-3.6630037,25.335920626601084,14.83973547030727,"[-0.17602775 44.464306   73.634705   69.65264    38.03499    24.787964
 29.304737   27.83462    24.506197  ]",17.33736637740058
36,-6.828780962530305,2.0180888,5.514,3.628447,14.528877815676791,25.67215384856841,"[  0.44992778  14.01268     17.068438    21.710026    33.919334
  33.754066    45.230465    84.4219     148.66476   ]",21.752744440548042
37,-20.54175314528817,1.3764123,5.592,-0.8900825,16.19924788115091,23.960444451692386,"[ 0.24458128 19.063204   23.811934   36.381435   58.355274   74.56214
 97.42949    91.90391    93.097046  ]",15.57891260476521
38,-32.959045214026254,0.98584926,5.719,3.4983382,25.104473399832546,15.186917898586882,"[ 0.17280324 64.336655   73.73784    63.44042    70.53613    60.43969
 40.182976   25.561794   17.469006  ]",18.598518488279446
39,-38.19392890567396,1.3240442,5.98,2.749241,21.294747824327548,18.88654577031967,"[ 0.13943195 66.62553    78.1857     80.41299    64.38297    51.159378
 47.958244   39.46452    26.170717  ]",43.48457970696929
40,-31.320784502782434,1.1776639,6.045,-2.2494648,17.46432981877838,22.662586736459847,"[8.9147717e-02 2.2700369e+01 3.0403412e+01 3.0335716e+01 8.1599403e+01
 1.0831123e+02 7.1655533e+01 5.1886948e+01 4.1538548e+01]",23.534352404169145
41,-47.477485214274516,0.80926627,6.225,1.8682771,21.9526383199415,18.234456844176535,"[ -0.26214537  31.405514    67.1315     103.33302    100.576744
  94.39614     64.8265      37.714348    25.572084  ]",22.48983563953798
42,-17.04590205439748,1.5971698,6.394,-3.1294007,19.780383576074627,20.43333016609021,"[8.1383288e-02 2.4585619e+01 3.3327862e+01 6.6867973e+01 1.1053240e+02
 9.2421326e+01 5.9020763e+01 6.3436211e+01 6.0050526e+01]",15.60707236114767
43,-31.43621164816574,0.9446895,6.466,1.1448857,13.129807927656417,26.99241359538014,"[ 0.25747263 15.872555   13.903535   16.13099    20.623463   42.929813
 30.198414   47.004196   64.98821   ]",20.891450797773846
44,-20.43381263692666,1.5103452,6.524,-2.4339519,15.88219759856274,24.35025502930665,"[ 0.19714428 16.559763   19.674599   25.780571   43.680225   64.52816
 95.62699    84.982185   65.79536   ]",28.994241997890434
45,-11.23211632433774,1.8323958,6.644,1.9538381,24.534360588598698,15.613886159107231,"[  0.13578016  48.883274    66.066925    79.70567     98.42862
 104.26987     76.12007     23.213531    17.898405  ]",16.38340781402604
46,-18.2807231972814,2.3501182,6.771,-2.2988024,16.949980155206774,23.165608752345584,"[5.8600850e-02 1.9487303e+01 2.4980431e+01 3.6754543e+01 6.2559334e+01
 1.0184907e+02 9.5949753e+01 5.5205795e+01 4.2222401e+01]",14.164133999715151
47,-12.217625439702326,1.7943649,6.839,-2.9252596,12.053410200402476,28.11628392916937,"[  0.15740335  11.584325    13.849469    17.393894    27.58832
  77.33249    125.51236    106.49418     90.225525  ]",14.53014353377651
48,-54.339176978281664,1.1944283,6.942,-2.7196012,17.02110720271097,23.087597332256898,"[1.0021675e-01 1.8253338e+01 2.2699934e+01 2.9158760e+01 5.5573853e+01
 7.7176857e+01 1.1027407e+02 8.6080948e+01 5.5075668e+01]",16.1611312771044
49,-54.286494520493804,0.746156,7.106,0.97350675,16.066257825331114,24.04438218689497,"[ 0.18143803 76.74604    39.613148   25.785463   36.10609    27.354786
 29.257204   56.18432    77.00739   ]",95.15453741154857
50,-15.03603523534174,2.3084981,7.163,-1.6812502,13.842934489830807,26.548175652012898,"[3.3053018e-02 1.5023620e+01 1.7249748e+01 2.4572050e+01 7.5307419e+01
 8.7331039e+01 8.1000153e+01 8.0613457e+01 1.6744901e+02]",22.606578477459013
51,-7.85981661750409,3.120552,7.242,-1.804092,28.031272496617287,12.131335216582485,"[  0.22989954  44.00227     72.25767    114.75289     99.28732
  89.81042     32.28138     18.630499    13.894937  ]",24.202927131837324
52,-21.11374295309065,1.5179396,7.35,-0.63435924,20.03878843218231,19.97555110637269,"[ 0.6632124 77.403885  56.452007  60.98588   45.71915   58.633198
 58.48974   36.075703  27.544731 ]",39.408454692107455
53,-26.631547404375368,1.286614,7.524,2.6585138,23.39460722585351,14.571411001026652,"[-0.24911782 61.603054   77.31241    75.300316   73.13053    48.206005
 30.813484   19.260992   16.25139   ]",13.431400635136837
54,-30.643425650758132,1.0525081,7.61,-2.5638177,15.867285057051127,24.309275198355103,"[ -0.1716604  17.849169   20.87123    35.20204    84.855705   58.069534
 119.84146    96.87148    67.243744 ]",24.342696125636497
55,-16.89977246881293,1.6200837,7.689,0.709418,25.198936521853753,15.042444605132076,"[-0.19454156 42.487545   54.947227   78.82344    66.582596   47.105793
 28.224455   23.15146    32.887535  ]",32.42687040906227
56,-47.44383099041015,0.87009126,7.89,-0.33193192,17.9880342787265,22.156621703940132,"[ 0.24286954 27.76744    37.48599    58.836456   69.53087    58.598347
 46.684612   47.22114    54.118893  ]",18.25205010527601
57,-9.698141945715008,4.2773457,7.971,-1.1257029,18.54522951798867,21.589776145339027,"[-0.20227465 39.683643   85.21111    81.30754    83.59657    82.69312
 52.779987   34.035248   26.686787  ]",20.380832784878915
58,-34.03904071571113,0.82679284,8.121,-1.569109,21.090264052725775,19.167328679138855,"[ 0.12460081 37.148376   41.435535   47.281185   56.094326   58.176666
 64.39608    72.27498    53.209007  ]",15.44804763436368
59,0.4168818767098601,2.4723194,8.191,1.1558101,27.829597468971595,11.727877157872173,"[  0.2870519  43.82279    81.067856  101.99451   143.9944    102.52142
  38.210735   30.552088   13.922184 ]",15.739037031138698
60,-32.90007702841779,0.9601199,8.355,40.699066,25.89603956500137,10.146248189398953,"[6.9445297e-03 7.4944649e+01 6.0988541e+01 4.9833710e+01 3.6904472e+01
 2.8135088e+01 2.9082930e+01 2.2233084e+01 1.9021446e+01]",82.20905043909852
61,-10.625721199098162,1.7200872,8.463,-1.1807557,16.98184249056607,23.25564448080302,"[ 0.15471438 33.937916   27.50933    25.734438   29.790075   41.325333
 25.326626   25.792711   35.463436  ]",13.475942886991403
62,-4.837506765082378,3.452094,8.789,1.8536879,21.84960866314431,18.419256056554183,"[-0.12548974 78.684235   99.24018    72.07878    58.723225   89.79055
 55.739952   31.322746   23.103191  ]",18.163310737163172
63,-6.912740052032137,3.1505444,8.859,1.039392,22.24456101821833,18.025524228538686,"[ 0.09226974 33.781452   52.40213    69.212265   78.63134    61.300068
 48.726334   55.02664    40.866447  ]",23.351578086081766
64,-31.121230142721448,1.273945,9.088,-2.2011886,29.389001440633717,10.796812103869003,"[-0.12575601 81.99115    85.95096    77.5868     58.408527   41.91374
 31.48915    21.927778   13.714917  ]",15.943667858620655
65,-9.193617870179294,2.153783,9.142,2.1881838,16.489277882386563,23.748253892672004,"[  0.20687728  16.827675    20.456997    27.008984    42.318344
  80.89707    125.462036    79.82695     72.36176   ]",26.076148921783876
66,-12.790138810254879,2.775356,9.197,-1.2869526,25.94216258052622,14.109159269337587,"[ 0.58238435 37.633537   49.255127   61.580822   66.164665   60.800625
 30.208332   41.042763   34.917046  ]",14.283546717341487
67,-10.072229162105897,3.9712672,9.378,-0.26198104,14.682843376052224,25.233139629717925,"[  0.1613305  16.665033   24.758495   28.810062   50.65287    95.3682
 118.714005  101.78309    56.150387 ]",18.65073103888246
68,0.2642528945577948,1.9344413,9.435,1.3731476,28.619213265451002,11.591058899548488,"[-0.9605814 62.77052   33.918186  26.281261  36.863323  32.952686
 14.415348  12.348717   8.891436 ]",15.889636963772666
69,-23.44788846800273,1.4149686,9.516,1.1447028,24.72997097583475,15.471534697487398,"[ 0.32443374 47.105274   73.68582    81.693054   76.667404   41.809914
 24.581987   21.224241   22.655563  ]",31.858444965665907
70,-28.25721338153553,1.9418428,9.549,-0.30488145,15.664346860120817,23.719460130846326,"[ 2.4535034 15.316549  19.221516  35.183247  29.216105  27.878353
 30.240927  37.99286   40.989285 ]",25.291420097778815
71,-20.690591239577934,1.9962869,9.677,1.7373567,22.76548986724656,17.340309754472052,"[-0.58188653 43.847706   89.79066    84.43516    59.945923   39.967247
 26.33758    20.950245   18.567987  ]",12.791929523470841
72,-12.897097233513728,3.7373736,9.747,0.88249373,18.873011842023363,21.286984507792877,"[7.95886852e-03 2.98860722e+01 4.76969757e+01 4.76022949e+01
 1.08291985e+02 1.13642937e+02 6.45308228e+01 7.10881577e+01
 3.37057304e+01]",23.357104106542995
73,-19.581984783133155,1.702494,9.808,0.6718178,24.55643025339821,15.574681785242314,"[  0.13602665  49.079067    90.22981     76.49915    122.15425
  68.003716    44.17114     20.409216    17.00719   ]",32.96425332284022
74,-30.843888753671983,0.8460959,9.983,1.0701538,24.488360229419772,15.5737870618184,"[ 0.4278696 60.07929   55.95078   65.392784  58.588337  54.898525
 49.556767  35.901283  28.38772  ]",13.21175674785402
