episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-44.28439853529801,1.2049524,6.154,-1.8347223,21.540256815863923,18.486339216220735,"[ 1.519752 33.74912  51.954685 57.172955 59.12533  49.531433 41.224022
 36.874428 33.93092 ]",102.35544658323028
2,0.6474071793594266,3.9351196,7.04,2.8421202,25.432515040623798,14.919641707437927,"[-2.25772299e-02  3.97119484e+01  7.18760757e+01  1.45011932e+02
  1.23365616e+02  4.77560081e+01  3.24664574e+01  2.13791332e+01
  1.66101723e+01]",24.99809318441715
3,-32.97459219929405,1.1515858,8.623,-2.3199165,10.63836953430049,29.017620289032674,"[-0.10493547 10.56106    12.088832   15.4137335  27.141356   40.52748
 48.353157   64.53247    60.937515  ]",15.07033916376864
4,-43.781713007624894,0.8780989,12.131,-0.29543304,13.862659814663175,25.82087128690108,"[-0.13449663 23.186007   19.797728   21.368496   27.838928   35.856857
 35.99638    54.498287   91.504944  ]",21.347217029745917
5,-23.751696135497564,1.4204565,16.117,-1.2019231,17.585812960814017,22.708494991495662,"[7.6428622e-02 2.0945713e+01 2.5764524e+01 4.8240650e+01 8.9599564e+01
 1.1311975e+02 8.2302994e+01 4.4072735e+01 3.7059967e+01]",15.159471380987043
6,-27.720869178430544,1.9239953,17.612,0.4764309,14.823215835936198,25.48680837386482,"[-2.1326575e-02  1.8632978e+01  2.8469435e+01  3.7711704e+01
  1.0114654e+02  7.9222855e+01  3.7439934e+01  1.2896997e+02
  8.0895622e+01]",18.253356447744977
7,-13.403442446352981,2.891539,23.4,0.13949297,21.65697468670942,18.57329890878546,"[ 0.30256546 42.10604    59.086975   68.82793    84.35851    88.76862
 58.91774    35.96569    31.1626    ]",16.74550102581646
8,-36.27288868360999,1.2232146,26.491,0.15719858,24.037895948731766,16.24650479971479,"[-0.2673333 34.21473   28.646759  25.213205  24.349918  41.900517
 40.808743  58.355186  60.278305 ]",16.73640579392414
9,-55.44501488112655,0.5822316,26.491,-0.7088177,13.502433013415088,26.600467558070196,"[ 0.3546964 15.755869  14.594353  14.073273  14.986987  17.82732
 24.704025  42.625988  82.18449  ]",15.431158839714694
10,-47.52035396668592,0.64166445,29.766,-0.6626787,18.828246717107575,21.301557697451067,"[  0.21157359  23.300756    30.89375     50.62347     97.34706
 131.16324     82.073456    43.8511      23.736622  ]",13.040230748476972
11,-7.626976453685363,2.3306377,31.773,0.20240013,16.02297323895262,24.092038074665965,"[  0.18257987  17.529179    20.520323    37.849567    44.67598
  64.27655     96.73731    132.44763     68.04892   ]",13.160120771201306
12,-18.97647861761205,1.7779844,35.631,0.30488503,17.558991025866817,22.62296117472159,"[ 0.13595928 30.483006   36.60411    53.078033   75.06429    81.71974
 61.589043   53.869976   45.40689   ]",15.101555495482566
13,-10.040654143851102,1.5380312,38.54,0.46869335,9.179978647658084,31.20050842403891,"[  0.16546379  29.025473    23.831625    33.455784    26.860706
  58.38491    102.11583     88.0023      48.55478   ]",15.170302579327164
