frame,game_cnt,time,v,ey,ephi,s,reward,reward_component0,reward_component1,reward_component2
864,207,550.74,3.3090909090909104,0.18138821223534096,0.11449381311549889,13.08789272926807,-0.01469332483953784,-0.011344181337731178,-0.0033491435018066615,0
876,207,550.83,4.690909090909093,0.35795675327072723,0.15409473973001653,13.08789272926807,-0.026919414644855876,-0.022380907282781064,-0.004538507362074813,0
888,207,550.92,4.109090909090911,0.6505020750827301,0.30074527352632874,19.79316362878518,-0.04940356874446647,-0.040890412746840105,-0.008513155997626365,0
900,207,551.01,3.9636363636363656,1.139593837524361,0.4111393363837963,19.79316362878518,-0.0845753028152438,-0.07241096345499881,-0.012164339360244978,0
912,207,551.1,2.0727272727272728,1.564436174934714,0.4625575876128942,19.79316362878518,-0.11512998715289063,-0.10151291419575399,-0.013617072957136636,0
924,207,551.18,0.9090909090909083,1.785655519173829,0.5965035345190914,19.79316362878518,-0.13439481930503183,-0.11693875277758219,-0.017456066527449653,0
936,207,551.26,0.9090909090909083,1.9504056640620497,0.6325570517925827,19.79316362878518,-0.1468796080966186,-0.12781505333063364,-0.019064554765984967,0
948,207,551.33,1.818181818181818,2.181131480486954,0.6353690351135841,19.79316362878518,-0.16103292923246645,-0.142145898269068,-0.01888703096339845,0
960,207,551.42,3.890909090909093,2.7277207971102437,0.72993170808624,19.79316362878518,-0.1973604838890548,-0.17571819570094224,-0.021642288188112566,0
972,207,551.51,4.436363636363638,3.675428257010115,0.7751444803873428,19.79316362878518,-0.26036841037459174,-0.23711407596297146,-0.023254334411620285,0
984,207,551.59,4.5090909090909115,4.690311611672593,0.7526300236017076,19.79316362878518,-0.326782931461939,-0.30411953522507235,-0.022663396236866664,0
996,207,551.68,4.654545454545457,5.68490376446022,0.7526265309719908,26.506601527294155,-0.39218273552645744,-0.3696039395972977,-0.022578795929159724,0
1008,208,551.84,0.4363636363636364,-0.014545447212634066,-0.08237640731767648,7.102164244979957e-14,0.0029192918206562123,0.0004479996011259178,0.0024712922195302945,0
1020,208,551.92,1.2727272727272732,-0.3432117855585554,-0.0269162095263753,7.102164244979957e-14,0.0212213029248844,0.02041381663909314,0.000807486285791259,0
1032,208,552.01,1.345454545454546,-0.7628985163915429,-0.02399822674576857,7.102164244979957e-14,0.04852911209928919,0.04798395999511995,0.0005451521041692331,0
1044,208,552.09,1.2727272727272732,-1.2156912595794929,-0.012360726560496804,7.102164244979957e-14,0.0783030137177859,0.077932191920971,0.0003708217968149041,0
1056,208,552.16,0.8727272727272734,-1.527892333971896,-0.02405981260652945,7.102164244979957e-14,0.10000287961531511,0.09936896326629548,0.0006339163490196275,0
1068,208,552.23,0.6909090909090914,-1.779811225550229,-0.08558059449301103,7.102164244979957e-14,0.11890871694428402,0.1162532815360075,0.0026554354082765205,0
1080,208,552.31,0.07272727272727299,-1.960014609873577,-0.05914993239182609,7.102164244979957e-14,0.13081552583799988,0.1290410278662451,0.0017744979717547826,0
1092,208,552.39,0.07272727272727274,-2.0065502561366033,-0.04440809073323004,7.102164244979957e-14,0.1335725617701204,0.1322403190481235,0.0013322427219969013,0
1104,208,552.47,0.3636363636363636,-2.0889667248344552,-0.050327827210549625,7.102164244979957e-14,0.1387416714848857,0.1372318366685692,0.0015098348163164886,0
1116,208,552.54,0.4,-2.1946600302244557,-0.02676558038500998,7.102164244979957e-14,0.14494659466641044,0.14414362725486013,0.0008029674115502994,0
1128,208,552.62,0.25454545454545446,-2.3071401881616644,-0.035604166332251275,7.102164244979957e-14,0.15285174643299343,0.15169525306215234,0.0011564933708410807,0
1140,208,552.69,0.4,-2.382522503907275,0.06179378533957092,7.102164244979957e-14,0.1546921666034283,0.15654598016361543,-0.0018538135601871275,0
1152,208,552.77,0.2181818181818181,-2.5079341874325456,0.07651481312161401,7.102164244979957e-14,0.16280749886965556,0.1650145396478288,-0.002207040778173255,0
1164,208,552.84,0.47272727272727266,-2.5897172452095547,0.10011321211186797,7.102164244979957e-14,0.16709283908584102,0.17009623544919705,-0.003003396363356039,0
1176,208,552.91,0.07272727272727254,-2.6984344178862867,0.08831636498489015,7.102164244979957e-14,0.17531997695933832,0.17796946790888502,-0.0026494909495467043,0
1188,208,552.99,0.14545454545454548,-2.722524785379921,0.10012763284061332,7.102164244979957e-14,0.17658075606127804,0.17949600483570471,-0.002915248774426664,0
1200,208,553.06,0.2545454545454546,-2.7570365005047472,0.17393421271034715,7.102164244979957e-14,0.17681111104244215,0.18158659400894056,-0.0047754829664983945,0
1212,208,553.14,0.40000000000000013,-2.8666358583751643,0.3330469586550815,7.102164244979957e-14,0.17860371890606813,0.18859512766572056,-0.009991408759652444,0
