,episode_rewards,episode_lengths
402,631.1081476521421,2307
403,-167.0541940656802,91
404,-145.8370719602143,150
405,690.7089879451753,2348
406,-78.47640121728428,270
407,-62.579365405191,590
408,-149.34519033498893,63
409,7.691259605106808,463
410,131.71835567471226,648
411,145.590991604139,701
412,-144.21690928387108,163
413,399.9146175028459,1026
414,-31.68211129212932,417
415,143.6332225661862,1066
416,179.08133132772986,701
417,1211.7043982715459,3793
418,-73.89345752682286,368
419,-172.41863080673696,38
420,11.429404277975067,941
421,-131.88203375047135,202
422,-33.33805314252896,341
423,-109.90748077415199,279
424,134.09880736624842,789
425,22.270974220419873,898
426,-42.94598367849494,358
427,-64.59054375511886,271
428,-15.60428490857305,372
429,-122.54022765038637,183
430,-58.57177843964459,312
431,-150.42802984717656,116
432,-112.85549996768292,285
433,-113.91072717852958,199
434,430.08375646182094,3682
