,episode_rewards,episode_lengths
0,-159.7964973279945,130
1,-151.43684140484405,131
2,-124.83536677193032,467
3,-157.06852907874338,116
4,-168.38314043330445,123
5,-163.56397611449856,92
6,-186.1824537355519,53
7,-182.5165006748082,55
8,-159.07162550723677,169
9,-142.93143120947138,248
10,-147.46201171959217,174
11,-174.82644928402166,94
12,-121.94256934142504,214
13,-164.23218606943163,99
14,-180.3230152647741,73
15,-169.3719707020639,67
16,-168.873891523295,64
17,-163.15784037424962,87
18,-177.8277041804818,60
19,-130.0372987850056,181
20,-173.20331521238685,90
21,-172.60067515137223,86
22,-174.27556684725894,90
23,-174.91632118168076,102
24,-131.57283626864972,254
25,-174.64354783900245,96
26,-186.14811298614393,24
27,-119.98362271233624,192
28,-172.47034586262168,81
29,-97.31002671770337,228
30,-149.10874990873248,177
31,-175.66566644404838,91
32,-113.35176881354838,569
33,-172.3854743287126,79
34,-94.47268337366522,315
35,-173.2874775689486,49
36,-181.83324594576095,74
37,-157.47906289645042,114
38,-165.52145456715516,105
39,-113.48458623307364,203
40,-176.83095207130287,101
41,-177.34781499422056,53
42,-80.35199626930611,296
43,-172.46168939967387,78
44,-174.86407059946492,99
45,-147.0954808995542,114
46,-146.1546304459921,180
47,-148.74916033419572,155
48,-147.9014592168081,185
49,-177.9257875318755,58
50,-174.6715056651943,97
51,-118.09786381405485,231
52,-101.6169845511273,333
53,-169.71774266202058,122
54,-168.09217624550917,112
55,-149.56877795867658,120
56,-161.65773814942304,129
57,-184.43951330864616,88
58,-180.25997570386906,78
59,-178.79526156012176,82
60,-160.60508040092273,74
61,-143.50486582219418,185
62,-164.0068161512179,91
63,-58.503008835610785,347
64,-175.71154664856132,98
65,-169.3422960819993,67
66,-129.05195029660905,271
67,-149.84831970154755,128
68,-174.31639991462225,90
69,-181.56647462008817,77
70,-151.80305839560418,131
71,-162.70748293889054,85
72,-168.09393367952686,105
73,-175.01062670947823,98
74,-176.9335995575698,57
75,-181.46136112801338,57
76,-174.48674007346662,90
77,-189.56060310760836,106
78,-186.39994922718753,51
79,-160.70591970413994,88
80,-168.17642636162662,86
81,-89.0143894013438,264
82,-103.48749303654478,198
83,-185.1586270164049,45
84,-133.95439464513063,269
85,-169.21468572177673,62
86,-166.96841199572975,52
87,-159.72946151659528,120
88,-161.22830800320708,126
89,-141.66472541798606,159
90,-184.92402485902866,25
91,-151.4604480702306,133
92,-185.0404319142652,26
93,-145.31082041692946,98
94,-165.34468626391111,98
95,-180.47174031483632,66
96,-160.91069332686743,89
97,-113.80802246434784,166
98,-188.4998243089024,36
99,-183.2013028101988,88
100,-187.82333153873242,53
101,-181.02949409925387,58
102,-136.0603902175096,326
103,-184.06323960355365,18
104,-175.28722703212262,65
105,-143.40983470906477,152
106,-160.3262522972881,182
107,-122.4891224451773,147
108,-186.47133834655168,49
109,-105.21090564318713,205
110,-165.9798767705792,59
111,-170.92552895006955,69
112,-188.49749993187993,102
113,-166.5815464769408,110
114,-76.96146161984846,313
115,-156.0311770844122,117
116,-192.52205106406748,61
117,-129.46313957646885,233
118,-185.06963543866203,61
119,-186.8806039432746,32
120,-187.70320574969128,30
121,-137.4908295027557,163
122,-180.75295322109594,57
123,-190.158729994612,80
124,-171.51213782352997,74
125,-181.04157044567435,58
126,-180.69052290879353,44
127,-195.3494075224219,20
128,-182.7588733197849,78
129,-169.66438418884658,107
130,-178.08657473698878,87
131,-185.56182279194766,20
132,-196.26957702313646,24
133,-170.64229811680906,39
134,-175.19943819314642,54
135,-183.09162452317258,52
136,-170.6839191394149,69
137,-184.1377407159976,21
138,-176.08753057482954,85
139,-168.7804521533868,113
140,-194.29239284428908,20
141,-128.62477502368267,202
142,-173.22824431787905,88
143,-172.24347864683142,118
144,-175.45624293798477,72
145,-201.20070177358514,34
146,-182.4391586290137,60
147,-192.55577334294776,38
148,-180.74129929169052,58
149,-181.09440638647027,106
150,-128.08181600349673,185
151,-161.60647994631458,124
152,-172.85008357309766,120
153,-191.22881438406856,72
154,-150.85744631938366,90
155,-172.97826194878382,72
156,-174.77725972427862,119
157,-190.43925532824974,32
158,-133.1988063994414,172
159,-195.29670456672315,20
160,-199.16033662896587,31
161,-170.34267252500146,65
162,-168.29653656087595,78
163,-168.92626396592036,64
164,-180.70668385355978,68
165,-188.4467921209927,31
166,-182.33763615483917,77
167,-196.59571239473968,24
168,-179.19449605975694,64
169,-168.76540686356935,85
170,-172.3495333808878,79
171,-160.65744649610633,87
172,-145.8888158016457,138
173,-174.47206106023773,62
174,-195.46881222061197,22
175,-182.4400455231874,49
176,-182.0392152767454,42
177,-184.82210706995383,59
178,-162.80924789374413,84
179,-186.46659484129094,30
180,-195.92030867489476,23
181,-187.4155306139435,32
182,-184.78226385183498,22
183,-180.26632858771677,51
184,-184.53542513726504,53
185,-182.7514505062576,48
186,-110.32152264094994,134
187,-196.67366125789843,23
188,-195.80561683276414,23
189,-179.96253751809704,63
190,-190.11047382462786,31
191,-185.1999852890454,24
192,-181.7922577070073,45
193,-144.60405836279602,153
194,-180.38935182800773,50
195,-152.44598954715536,93
196,-129.16207373374547,187
197,-166.69604841670332,96
198,-187.0410346917024,48
199,-168.83738253936122,117
200,-194.88214591854933,21
201,-161.44300226040866,173
202,-173.51346283137596,88
203,-195.93712937376367,24
204,-186.5764433781716,56
205,-195.1569673445627,24
206,-190.12309829741915,32
207,-177.09015243118102,78
208,-196.97577963338895,25
209,-186.62904442705224,59
210,-145.22995964541985,112
211,-189.11934869234977,44
212,-180.19414529728056,66
213,-172.4798959540757,96
214,-137.5621328054822,147
215,-187.04733896856453,27
216,-195.84085134674226,22
217,-189.5448821246089,37
218,-194.64773678056386,19
219,-191.66278328695822,46
220,-172.54586864438306,86
221,-190.198706583947,50
222,-190.4955759614163,66
223,-153.82363913173927,85
224,-139.02906496734818,139
225,-195.7861151239639,23
226,-178.60861209512296,46
227,-177.22575904513317,78
228,-133.76757693506008,124
229,-190.49945504216979,43
230,-183.1033195116466,66
231,-161.3675195962059,78
232,-172.04915136642424,58
233,-195.17086681413465,20
234,-189.6306380549474,64
235,-168.90832177972658,65
236,-159.1386370523193,95
237,-195.97238082418505,22
238,-194.75797375775227,20
239,-160.6164616246062,93
240,-187.42423318277858,32
241,-191.55678724840323,49
242,-162.18590013587408,86
243,-196.04844925993527,25
244,-183.1643408979591,52
245,-172.82763739579678,64
246,-194.51077379727855,20
247,-188.09336234686924,53
248,-188.6049574160615,46
249,-195.70226848341005,20
250,-185.71997376464108,66
251,-159.8609622906951,73
252,-186.38874017727525,57
253,-165.73619447896994,100
254,-196.27534006469824,27
255,-186.3415635041498,29
256,-183.09073195527853,67
257,-186.12742286136537,23
258,-171.48185863447313,72
259,-183.42862100009032,77
260,-194.97457571834556,20
261,-172.64118030235514,82
262,-188.81399396030014,36
263,-178.47551545476693,59
264,-169.97437278953566,101
265,-194.7946185643369,19
266,-176.82253029839188,60
267,-177.11108067169573,28
268,-167.71011442108392,101
269,-154.14164857631346,105
270,-180.21905551435844,84
271,-187.27572041654355,87
272,-166.79768281393237,162
273,-29.72418287777259,317
274,-97.20720105376041,217
275,-144.11579359505802,98
276,-174.0659676824112,88
277,-187.32917447993862,30
278,-185.9508133186137,24
279,-167.45435884316043,111
280,-119.17123758231563,184
281,-171.92850190280785,46
282,-168.18270513768204,101
283,-180.76790004919235,38
284,-172.7467249950531,57
285,-195.34234064043358,21
286,-193.96278586002865,18
287,-171.84033776726247,77
288,-181.6039891014042,77
289,-177.23643997317257,96
290,-194.81312064776037,19
291,-168.76345192891566,79
292,-155.8134339437251,109
293,-185.23197341700538,62
294,-196.3547512768783,22
295,-187.35845379011485,33
296,-159.29790961846572,92
297,-181.8976436921467,60
298,-187.73533910143237,86
299,-178.0743496409422,29
300,-161.07572035165586,62
301,-176.95428699595118,47
302,-195.4059389785788,25
303,-195.8149053447983,22
304,-185.72171320894526,46
305,-179.93696252483676,62
306,-183.07392967652493,55
307,-177.15745502194255,136
308,-179.88214988201432,67
309,-158.02582180631194,126
310,-194.9422125133674,21
311,-178.64659512235414,32
312,-150.3265105997271,135
313,-163.24635347650525,95
314,-170.68706087922277,88
315,-159.64787924394943,104
316,-182.40861872786155,75
317,-175.2380425543039,58
318,-190.62951780246345,35
319,-170.2995795234688,79
320,-188.1296821205341,34
321,-177.73503297613473,66
